Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19
01-MFCC.csv,6.541637,6.671907,2.9246407,5.1534777,5.4189167,3.279273,7.2543473,7.321678,7.1701746,5.84556,3.6983473,6.285345,3.9155624,5.165055,1.8747385,5.2326384,5.1306725,4.0042934,6.2621303
02-MFCC.csv,6.4513054,6.6983438,2.707363,5.1312513,5.322508,3.5368571,7.243545,7.370687,7.0197353,6.143577,3.8589368,6.281208,4.0982094,5.3238487,2.0633996,5.1344333,5.4069724,4.096384,6.095813
03-MFCC.csv,7.1607857,6.829517,3.6561768,5.270013,5.0003614,2.5653763,9.191069,7.2047553,7.308448,5.085662,5.100278,7.5561476,4.429932,5.081074,1.9758116,6.3585486,4.5266886,4.8960505,7.043959
04-MFCC.csv,6.6341014,7.2240567,3.407402,5.38894,5.6092935,2.5183868,8.75191,6.9463053,7.15372,4.8713436,4.8516026,7.7105207,4.360342,4.81894,1.975898,6.316986,4.476912,4.871885,6.8121467
05-MFCC.csv,5.719735,7.0575323,2.5760891,5.130216,5.863904,3.9232066,6.598354,7.0106525,6.5794883,5.857712,3.4136255,5.9534683,3.7526546,5.0826,2.3745773,5.563855,4.601123,4.008014,6.3708167
06-MFCC.csv,6.783338,7.270069,3.6155999,5.405831,5.437663,2.7073033,8.768967,6.835147,7.13672,4.6467953,4.7052555,7.4850187,4.2811294,4.9823046,2.0616076,6.544819,4.0903697,4.737267,7.0691347
07-MFCC.csv,6.309233,7.0791736,2.9545105,5.1792746,5.589667,3.0500238,7.633336,6.8778625,7.0329766,5.187394,4.217294,7.027799,4.0616074,4.8869967,2.0393205,5.9679065,4.5690875,4.458792,6.7073207
08-MFCC.csv,7.204874,6.722694,3.3483126,5.22783,5.0803194,2.9211195,8.663672,7.226212,7.4751196,5.2073493,4.781002,7.2741694,4.24446,5.130277,1.7943387,6.0651336,4.744271,4.5894933,6.7929435
09-MFCC.csv,5.6329994,7.2360935,2.653217,5.129275,5.810188,3.801207,6.558643,6.9900656,6.421981,5.735759,3.3879304,5.9078484,3.8136842,5.0983834,2.4299917,5.626344,4.6037884,4.1810274,6.4936438
10-MFCC.csv,6.8940024,7.030388,3.5486395,5.526749,5.3015175,2.5342748,8.772603,6.872029,7.188924,4.9827466,5.019714,7.647284,4.3608856,4.7855225,2.1108809,6.647883,4.024781,4.9353914,7.2606635
100-MFCC.csv,5.447888,7.3383837,2.658831,5.1500435,5.8879323,3.9108567,6.3464465,6.959305,6.2706966,5.770172,3.336108,5.7789817,3.7987773,5.0473824,2.5726354,5.70978,4.466141,4.2063675,6.560093
101-MFCC.csv,6.2565184,7.1085024,3.0476618,5.250292,5.6293397,3.0004318,7.694162,6.887267,6.9686017,5.2543106,4.2397714,7.0164595,4.097733,4.8751984,2.1010551,5.996324,4.5017195,4.5080457,6.6910825
102-MFCC.csv,6.728029,7.033534,3.8961446,5.2942896,5.1201077,2.396173,8.922399,6.341217,7.209125,4.907285,5.583098,8.202336,4.4145284,4.214515,2.2805986,6.984631,3.8193045,5.266872,7.3954434
103-MFCC.csv,7.2561684,6.7627745,3.5697396,5.2802563,5.0152664,2.6616676,9.138258,7.266267,7.4027963,5.1030707,5.0307827,7.448443,4.4053698,5.149711,1.8882958,6.289478,4.608945,4.8126106,6.9665465
104-MFCC.csv,6.4857564,6.9713693,3.1086097,4.933434,5.397254,2.801366,8.099582,6.682491,7.336831,4.958463,4.961991,7.9147596,4.173343,4.48249,1.9982121,6.1843624,4.601729,4.8047123,6.7475667
105-MFCC.csv,6.6033907,7.019929,3.880173,5.4423895,5.1210365,2.475103,8.766634,6.3162045,7.128376,5.019554,5.5242343,8.133959,4.4518204,4.1129827,2.4071798,7.0571966,3.676262,5.2493734,7.4365697
106-MFCC.csv,6.2138386,7.2052803,3.2011688,5.406098,5.5998225,2.8742201,7.865742,6.7597866,6.8381743,5.1628323,4.410502,7.113329,4.21914,4.7622232,2.28463,6.305508,4.177161,4.6932716,6.9911804
107-MFCC.csv,6.654154,6.6207,2.8389323,5.191515,5.2831626,3.2113912,7.3531547,7.3808804,7.2252955,5.927951,3.7960136,6.4289374,4.0834923,5.2607965,1.8574713,5.1793284,5.3304744,4.1075807,6.136045
