,Filename,Encoded_1,Encoded_2,Encoded_3,Encoded_4,Encoded_5,Encoded_6,Encoded_7,Encoded_8,Encoded_9,Encoded_10,cluster
0,01-MFCC.csv,4.584408,5.7064886,2.8265352,19.974703,-18.752586,7.149459,15.782251,-6.3200893,5.3419805,7.2400403,2
1,02-MFCC.csv,24.210978,4.9130473,26.114056,-1.1139853,-21.63475,-11.149026,11.233228,-7.570163,-3.2137182,4.8943796,3
2,03-MFCC.csv,-1.6813124,-18.634718,-9.941222,-7.9915185,13.95728,14.326417,16.530025,19.021606,-5.8706098,5.430306,1
3,04-MFCC.csv,-1.2535616,-9.802909,-20.418707,-7.7134686,7.374802,-1.8633785,14.616058,-1.348721,-10.821183,7.667789,4
4,05-MFCC.csv,13.3012,-1.0630133,-1.4246968,4.889995,-14.026495,1.5781922,6.5148454,11.310443,18.753815,8.436665,3
5,06-MFCC.csv,10.504522,-17.592361,0.6004146,-4.534081,1.0499872,-10.525596,21.923944,-16.969961,-17.378822,2.8548179,1
6,07-MFCC.csv,2.186497,-0.37613878,-16.945156,21.894712,-0.7076048,0.44580364,8.703356,2.7353065,1.577094,4.314534,2
7,08-MFCC.csv,-4.8606606,-5.068981,5.868822,-1.5368654,-3.0862093,9.449591,13.908898,-11.589246,-3.975848,12.289142,4
8,09-MFCC.csv,13.438151,12.904257,-1.4879766,15.366999,-16.98552,-15.71688,10.269376,0.70442283,21.407715,8.9124565,0
9,10-MFCC.csv,0.6861419,-16.212566,-12.768324,-0.48144707,-2.4338267,-19.288755,16.093592,-3.8913128,-14.90238,-2.3037,1
10,100-MFCC.csv,5.5604777,19.659134,-0.68223274,10.5726185,-18.189995,-21.625391,12.998007,11.855928,8.141906,23.906885,0
11,101-MFCC.csv,2.050782,-0.1180015,-16.584753,21.413137,-1.0048631,0.61123675,8.651554,2.5654995,1.6405196,3.769,2
12,102-MFCC.csv,6.6633873,-22.416046,-24.658281,30.807896,10.786659,-14.397676,10.53964,14.352487,-19.287357,-0.84612566,1
13,103-MFCC.csv,0.8550899,-12.24363,1.0031865,-12.551466,15.284693,13.772584,18.555643,17.475119,1.2285287,7.3035326,1
14,104-MFCC.csv,1.7729328,-7.1995864,-6.7040925,15.561022,-1.1339914,10.329171,14.28645,-1.7193136,-16.573278,-6.92662,2
15,105-MFCC.csv,-0.07638637,-12.376394,-13.798583,32.65706,4.7886424,-18.907093,-1.1972101,0.9749227,-12.191584,-7.867277,1
16,106-MFCC.csv,4.767247,-0.012040744,6.218292,2.435066,-2.2649064,-8.9368,-2.0908434,6.4688582,-16.955938,16.584824,2
17,107-MFCC.csv,15.063233,4.97085,-0.14866027,5.9143558,-37.734333,6.9057817,25.812294,-15.936259,-8.52311,15.096277,0
18,108-MFCC.csv,12.136928,12.380246,0.90540934,18.2985,-23.94717,8.246566,19.103,-11.606042,15.731788,19.449196,0
19,109-MFCC.csv,0.22484648,-19.488823,-3.6749098,1.616597,9.684704,-1.5099648,18.69998,7.9417467,-13.059487,8.807159,1
20,11-MFCC.csv,-2.8150558,-17.50397,-16.157473,19.525894,12.582044,10.389441,9.768766,18.453907,-12.347232,4.455818,1
21,110-MFCC.csv,10.860878,-2.3970385,-27.725044,-7.2948427,0.7851161,-15.641818,-0.81952465,19.61945,-6.891919,4.3664637,3
22,111-MFCC.csv,10.395639,-6.1746836,-12.955425,22.0907,-15.874006,-4.8221908,-9.83266,15.85024,19.043041,7.2590485,3
23,112-MFCC.csv,0.09742476,-17.557047,-5.0457587,15.41802,9.817657,-1.4787865,11.2833395,0.54560256,-11.265462,-10.339852,1
24,113-MFCC.csv,15.770941,-17.540121,-9.013243,0.86158985,0.54037505,5.0352407,10.919555,-0.84354687,-22.87444,-12.713102,3
25,114-MFCC.csv,2.6197674,-0.8076845,13.575595,-15.996704,-9.218168,1.6103718,16.466673,-5.365296,-6.435718,7.744468,2
26,115-MFCC.csv,12.358278,-9.582791,-1.6151323,1.9229145,10.732307,-13.33124,-13.372553,-6.722897,-10.556124,2.06946,3
27,116-MFCC.csv,39.535767,-8.15058,9.592138,-20.113352,-17.536755,-8.899892,11.723388,-1.236847,18.233727,-4.048955,5
28,12-MFCC.csv,-1.0515456,-21.474152,-10.107272,-13.078084,21.301512,-1.7774774,8.798948,9.167212,-14.864038,9.127858,1
29,13-MFCC.csv,2.1098528,-16.385475,-1.6855416,17.127403,17.471605,-0.53126425,-2.658933,-6.324221,-14.051848,-6.7196836,1
30,14-MFCC.csv,3.0538538,-2.6518574,-9.6612425,30.111193,3.0060065,7.664247,18.218254,-13.86508,1.5451418,6.101384,2
31,15-MFCC.csv,5.5950394,-6.5025196,-10.141589,-5.9961123,7.004422,-8.361653,9.43914,-12.887128,-6.710123,1.4996898,2
32,16-MFCC.csv,22.037537,-4.9925275,27.076653,-23.780298,-28.095713,-25.432657,0.011561369,-15.058379,3.1205473,3.5708344,3
33,17-MFCC.csv,22.687681,-4.2176776,31.54867,-18.361015,-20.478052,-14.445755,12.664864,-5.0924344,5.6240835,8.056511,3
34,18-MFCC.csv,2.7645776,0.88643694,-15.419622,-4.680839,-14.113367,-5.035787,17.938946,29.099916,10.055036,7.1764874,2
35,19-MFCC.csv,4.5837197,-11.008804,-19.388931,8.676402,2.9411426,2.9318655,14.692716,-3.4664152,-5.678012,0.45812124,1
36,20-MFCC.csv,-14.170111,-8.512073,3.8179739,0.95280457,6.570031,15.881395,15.519604,5.306499,-8.710812,10.58086,4
37,21-MFCC.csv,8.701168,-5.8076735,-18.08458,11.039979,0.5663188,8.910779,11.205475,4.9326425,-9.184019,-9.331207,3
38,22-MFCC.csv,1.4703208,-5.234078,-7.258323,11.325094,4.661989,6.2532334,8.951547,10.14246,-12.728861,-3.1056702,2
