Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40,UMAP_41,UMAP_42,UMAP_43,UMAP_44,UMAP_45,UMAP_46,UMAP_47,UMAP_48,UMAP_49,UMAP_50,UMAP_51,UMAP_52,UMAP_53,UMAP_54,UMAP_55,UMAP_56,UMAP_57,UMAP_58,UMAP_59,UMAP_60,UMAP_61,UMAP_62,UMAP_63,UMAP_64,UMAP_65,UMAP_66,UMAP_67,UMAP_68,UMAP_69,UMAP_70,UMAP_71,UMAP_72,UMAP_73,UMAP_74,UMAP_75,UMAP_76,UMAP_77,UMAP_78,UMAP_79,UMAP_80
01-MFCC.csv,6.303056,7.292108,4.632225,3.5085812,4.961201,2.4081938,6.128523,4.2081456,5.5828977,5.7520113,4.4318285,5.9162784,4.1206565,4.7209816,3.970729,4.5065594,5.446009,3.4617221,5.189606,4.662603,4.989685,4.3424263,5.4797826,5.8844166,5.425453,5.3086004,4.2448554,6.5526633,3.6084366,5.365245,5.8103843,4.317308,3.7619855,4.97836,5.295455,4.2518816,5.5889196,6.087878,4.0167165,3.2503967,4.9675045,5.471501,4.9926915,5.1281304,4.8795743,5.715028,3.8559847,5.1886125,5.732392,5.228943,5.3997083,4.9299293,4.554132,5.5173717,3.9952028,3.0749538,4.1949525,4.9129715,4.7474585,4.6305213,4.8335447,4.433325,4.2865796,5.6944127,4.547607,5.4616838,5.1193233,5.382729,3.6260548,4.500474,5.4053593,3.6053522,4.2940316,4.6893067,4.5017576,4.537868,4.56027,6.1876926,5.5847125,5.4223948
02-MFCC.csv,6.322033,7.3266687,4.663535,3.5862095,4.995412,2.3696613,5.926497,4.377894,5.6394672,5.6090574,4.4885564,5.906187,4.2854624,4.8097777,4.078315,4.454864,5.504887,3.432522,5.232486,4.672538,4.938704,4.3682613,5.5611687,5.7000294,5.2850733,5.2297454,4.3973174,6.497088,3.6076522,5.3482127,5.723639,4.4626393,3.8304658,4.9340286,5.285315,4.1817956,5.6696362,5.9482565,3.9342904,3.0741048,5.048385,5.5190425,4.947907,5.183019,4.8896475,5.698207,3.9060445,5.240197,5.756721,5.159556,5.457433,4.8133273,4.596571,5.4967513,3.8518171,3.0641274,4.093754,4.872275,4.7431636,4.661517,4.6427073,4.412215,4.283118,5.6480627,4.462069,5.336112,5.0214615,5.312139,3.6374917,4.5038257,5.4813266,3.5934572,4.289239,4.7952013,4.5306034,4.4972186,4.6606364,6.065711,5.504316,5.3163753
03-MFCC.csv,5.148997,6.5194726,4.904388,3.682642,4.356443,2.6374743,6.1527524,3.4574277,6.3591676,5.9164257,4.3753605,6.3801847,4.379112,4.4514475,3.6048887,5.305366,5.579998,3.6663835,5.4113326,4.782972,5.2372894,4.7069836,5.447971,6.110978,5.8324637,5.3108473,5.0630217,6.7891293,3.4314346,4.906219,5.928421,4.3097267,3.8621905,5.787328,5.5777383,4.7126107,4.948533,5.9330034,4.2947435,3.293708,5.15023,4.9667583,4.536949,4.9473243,5.1172485,5.3784475,3.998141,5.076306,5.9237537,5.1856966,5.4546857,5.2601447,5.014234,6.46747,4.355123,3.4449308,4.675012,4.7643685,4.84408,4.3354278,5.0118,4.9529543,5.2467003,5.3491735,3.4355197,5.3449254,5.006369,5.4795046,4.389758,4.678977,5.4429774,3.6965904,4.366711,4.402059,4.5139036,4.491961,4.5210886,6.2329197,5.152088,6.03864
04-MFCC.csv,5.3659277,6.7295947,4.9259553,3.7311983,4.3244476,2.6888397,6.317064,3.477123,5.8857737,5.9119754,4.453215,6.2794156,4.3184996,4.4307942,3.6292007,5.2004557,5.568372,3.7008047,5.281075,4.6674104,5.3368726,4.7241096,5.4277024,5.8903112,5.8711233,5.3126097,4.9748416,6.785692,3.2000885,5.1914444,5.931347,4.1584907,3.9308076,5.843187,5.62308,4.6891594,5.1305923,5.9603825,4.2972193,3.1381087,5.1923866,4.87804,4.486847,4.8682613,5.1577272,5.443314,4.028166,4.99768,5.9912415,5.554138,5.3618255,5.3266087,4.9060426,6.5117793,4.4085197,3.5198307,4.648549,4.7408276,5.0449057,4.4997525,5.093394,5.2211914,5.007198,5.252201,3.4063551,5.324041,4.9990497,5.400882,4.324709,4.712211,5.321562,3.7853315,4.3547835,4.403861,4.516522,4.568487,4.5579133,6.1780043,5.154344,6.0219345
05-MFCC.csv,6.5842338,7.2540674,4.3151255,3.590757,5.1580453,2.3807552,6.071418,4.4259887,4.985548,5.421705,4.7234125,5.7374167,4.5012846,4.722711,3.996423,4.229602,5.223432,3.538756,5.2755322,4.640241,5.1812754,4.32952,5.463868,5.53045,5.3098254,5.3403697,4.416,6.306396,3.5482113,6.122903,5.5154333,4.4976306,4.146756,5.1517477,5.2376213,4.131736,5.7358294,5.877468,4.181504,2.9134684,5.101621,5.487737,5.260602,5.071776,4.9058723,5.668682,4.0396414,5.2240634,5.4901576,5.6428394,5.283874,4.751622,4.4151864,5.8312683,3.6190968,3.2957911,3.9484138,4.9929643,4.8898735,4.654967,4.450093,4.4874177,4.087648,5.4427395,4.2621393,5.085743,4.881415,5.2549896,3.525925,4.560203,5.3441415,3.768602,4.3760457,4.6431746,4.4014616,4.7612643,4.760013,5.8133454,5.5036535,5.401709
06-MFCC.csv,5.40804,6.682196,4.822379,3.7025256,4.423102,2.7060378,6.3200364,3.4850936,5.8804646,6.1105943,4.395999,6.245387,4.2696853,4.5311136,3.6219082,5.326771,5.5551896,3.754112,5.3138824,4.5988827,5.2825727,4.573072,5.4119854,6.0755086,5.8658195,5.3366995,4.959074,6.743233,3.1971052,5.087263,5.9676533,4.127975,3.8406641,5.8585978,5.654803,4.7057233,5.0734134,6.044961,4.3119965,3.3771346,5.1127796,4.8859816,4.4578214,4.8223658,5.124837,5.471575,4.033045,5.027798,6.0027847,5.4833164,5.3684916,5.388467,4.875471,6.543884,4.378484,3.3921452,4.736761,4.73823,5.0312724,4.2895713,5.1034937,5.215242,5.0728717,5.444904,3.378794,5.4951386,5.0772696,5.456567,4.3149304,4.6706967,5.158436,3.7615294,4.3447204,4.353273,4.589571,4.5512147,4.6917543,6.321093,5.237915,6.008815
07-MFCC.csv,6.006679,7.0692677,4.733672,3.6802573,4.6657486,2.578148,6.239388,3.885137,5.4508085,5.8134127,4.499441,6.023066,4.323838,4.590775,3.813011,4.7896748,5.4763436,3.583329,5.2440886,4.651913,5.2279916,4.524215,5.439383,5.7901006,5.631468,5.335035,4.61858,6.5928974,3.310243,5.44581,5.812429,4.2010074,3.9026186,5.405444,5.4401507,4.4299874,5.426818,5.999769,4.1707363,3.146096,5.0908833,5.1504908,4.7718368,4.991108,5.0111623,5.578791,3.9506977,5.097331,5.837181,5.4882298,5.3552213,5.1241374,4.653708,6.0709443,4.154925,3.310686,4.3959875,4.8425374,4.939783,4.657395,4.8891797,4.886432,4.6015425,5.4390306,3.924811,5.3438272,5.0206704,5.3702536,3.9386022,4.606379,5.3438883,3.7485597,4.3395166,4.539991,4.5105305,4.611726,4.622516,6.12816,5.378278,5.707017
08-MFCC.csv,5.4381375,6.7066956,4.8408422,3.6617346,4.5062222,2.57355,6.1215425,3.6820366,6.25407,5.9301248,4.3700414,6.268352,4.3544083,4.5556216,3.727336,5.13483,5.47632,3.5898182,5.348191,4.701163,5.1180296,4.5585394,5.4329815,6.012351,5.7244415,5.389141,4.8667407,6.7309246,3.447998,4.902684,5.9262066,4.2633142,3.8019555,5.51647,5.4265633,4.585442,5.089871,6.0200443,4.2432413,3.2229893,5.083874,5.082254,4.683204,5.017817,5.0357924,5.4680753,3.886068,5.11869,5.832238,5.1008177,5.45858,5.185716,4.904414,6.2465277,4.270371,3.2817147,4.5910397,4.813604,4.770642,4.4757233,4.993652,4.76739,5.0425625,5.476885,3.6903818,5.40985,5.0487595,5.455115,4.1428475,4.611463,5.4706264,3.669891,4.3462124,4.4408073,4.477581,4.5148764,4.5153065,6.262014,5.285221,5.8745666
09-MFCC.csv,6.5119114,7.3725677,4.36516,3.5686462,5.1693997,2.3705254,6.1206317,4.44662,4.9954824,5.4624763,4.6785746,5.694288,4.4092264,4.692909,3.9616504,4.201303,5.378242,3.5518997,5.2881513,4.664147,5.272224,4.3709908,5.5183053,5.5632114,5.3051634,5.2200165,4.402638,6.2796664,3.5609314,6.1215487,5.514214,4.5154815,4.1442537,5.038375,5.363462,4.1469254,5.7950044,5.8560095,4.1076736,3.0457153,5.064131,5.611364,5.134309,5.011261,4.8937,5.702689,4.12115,5.259852,5.615824,5.8372912,5.2830124,4.7433863,4.3716416,5.8097806,3.6416707,3.3035977,3.9290662,4.954618,4.951415,4.6358232,4.486548,4.5491643,4.0102477,5.452692,4.298933,5.083963,4.892284,5.282947,3.5948904,4.570741,5.2835627,3.7369053,4.3513026,4.730861,4.472417,4.7252994,4.8556495,5.8358006,5.5424905,5.3600187
10-MFCC.csv,5.620731,6.685435,4.815463,3.6755369,4.3741975,2.6899512,6.4090834,3.418525,5.976509,6.0878935,4.438138,6.317438,4.127532,4.4465446,3.6101813,5.3533034,5.5304174,3.7667413,5.271466,4.571135,5.3622355,4.650121,5.404493,6.0998883,5.925135,5.3353343,4.947828,6.8452716,3.1683798,5.5329456,5.989961,4.0871563,3.9074075,5.973685,5.704407,4.740629,5.045197,6.0738516,4.3450546,3.2619915,5.175386,4.8489633,4.463726,4.7503448,5.1695514,5.457918,4.065597,4.952424,6.012376,5.6829195,5.3402777,5.4170017,4.923985,6.6084967,4.420875,3.5155513,4.754464,4.721128,5.1094704,4.2717605,5.2762446,5.2764597,5.0198603,5.297383,3.3360832,5.4061513,5.0660133,5.424866,4.3488235,4.711592,5.15553,3.800574,4.349464,4.3362827,4.52997,4.588639,4.576332,6.262376,5.1700554,6.066597
