,Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,cluster
26,115-MFCC.csv,8.504083,7.2287803,5.7545414,4.529125,5.1622148,4.3607974,4.0428104,5.1491885,3.2199945,4.711964,6.2948046,4.393992,5.3023324,6.3343115,4.8129644,4.275838,5
27,116-MFCC.csv,7.809786,6.7474,4.6890297,4.77251,5.612947,4.861235,4.868786,6.4363437,3.2129695,5.1400957,6.015836,4.0959926,3.904218,6.285328,4.8480735,4.770865,2
28,12-MFCC.csv,8.450526,7.1801014,6.49748,5.116749,5.4974713,4.050142,3.3602216,4.0287714,2.6935034,4.201294,6.6931243,4.2878895,6.1696057,6.1479177,4.826066,3.8263168,1
29,13-MFCC.csv,8.889962,7.402452,6.5869083,4.8725276,4.8337846,4.133794,3.0389,3.580563,3.058421,4.445596,6.499718,4.6449995,6.3219533,6.02988,4.548604,4.017111,4
30,14-MFCC.csv,7.96357,7.038471,6.0435643,5.2975435,5.0253153,4.399072,3.7390866,4.4817333,3.21079,4.742757,6.4388456,4.232877,5.3535542,5.7093067,4.4798927,4.1629767,3
31,15-MFCC.csv,8.312046,7.103248,5.9909964,4.986187,5.1582747,4.3271723,3.991285,4.9074225,3.2698357,4.771402,6.309768,4.178544,5.3649054,5.8235145,4.6026454,4.057118,3
32,16-MFCC.csv,7.4818926,6.464055,4.712736,5.500005,5.97414,4.9522653,4.611373,5.9496284,2.700409,4.9891386,6.2040467,4.112047,3.9370205,5.997256,4.8704205,4.8958426,0
33,17-MFCC.csv,7.4786997,6.4559455,4.648056,5.4431505,5.9308586,4.9384413,4.685717,6.0491033,2.7536044,5.0523863,6.194536,4.1451583,3.8152173,6.0451593,4.85098,4.8663664,0
34,18-MFCC.csv,7.922324,6.865307,4.65915,4.2984414,5.362598,4.590212,5.211276,7.1994886,3.5318358,5.362909,6.084437,4.007412,3.7282279,6.3242016,5.007514,4.6435738,2
35,19-MFCC.csv,8.129302,6.9702234,6.433295,5.2571754,5.3301706,4.34174,3.8470447,4.638483,3.0680385,4.441045,6.681609,4.187167,5.8936496,5.7679663,4.6326733,3.6961524,1
36,20-MFCC.csv,7.541132,6.82131,5.9448657,5.664834,5.832153,4.3619876,3.7984304,4.3928003,2.6066475,4.2861934,6.695843,4.04093,5.2694826,5.8917007,4.9826097,4.080214,1
37,21-MFCC.csv,8.112324,7.0398054,5.9649825,5.3257184,5.027305,4.282978,3.9879165,4.6870084,3.3039014,4.9859834,6.221834,4.148739,5.1288404,5.751188,4.3270535,4.308312,3
38,22-MFCC.csv,8.2016115,6.994923,6.0992103,5.2698784,5.167665,4.313678,3.9072177,4.6977415,3.230457,4.8927994,6.3510504,4.0873704,5.3739367,5.5457873,4.3732533,3.9694705,3
