Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15
01-MFCC.csv,6.284474,6.3507204,5.3189216,4.348698,8.538956,4.142687,8.575199,4.7357545,4.6262054,6.270093,4.4034157,5.8378863,4.4804287,8.248196,8.780567
02-MFCC.csv,5.986987,6.380619,5.33967,4.443414,8.589916,4.2222447,8.434063,4.6289897,4.488745,6.47574,4.5239635,6.039415,4.5452037,8.12901,8.7051935
03-MFCC.csv,7.711855,5.261127,5.450906,4.0403514,8.231471,2.2886364,8.293117,5.4099565,5.104694,6.247819,4.0094247,4.741293,3.6510048,8.331199,8.86537
04-MFCC.csv,8.25191,5.5158606,5.033121,4.3868327,8.190457,2.4163675,8.655869,5.7965727,4.9333377,6.011491,3.8988853,4.896422,3.6799288,8.846263,9.088494
05-MFCC.csv,5.8605,7.0976496,5.4367785,5.2891273,8.683501,4.934734,9.302504,5.244343,4.732394,5.478087,4.469573,6.032192,4.4565406,9.003555,8.852128
06-MFCC.csv,8.024763,5.4888887,4.9635425,4.254398,7.6735253,2.3650503,8.704241,5.631093,5.2059717,5.8805647,3.9128954,4.9427576,3.2838345,8.837209,8.813814
07-MFCC.csv,7.072606,6.1978045,5.131083,4.6895256,8.350463,3.5944753,8.829357,5.403108,4.758515,5.937582,4.222447,5.5355988,4.014093,8.853673,9.016953
08-MFCC.csv,7.5353665,5.587867,5.512023,3.9639971,8.301619,2.7982893,8.306378,5.188179,4.93718,6.3242903,3.985311,5.009654,3.997182,8.253041,8.913355
09-MFCC.csv,5.8432083,6.952512,5.4584613,5.1746016,8.709559,4.8658085,9.203439,4.825922,4.776944,5.480094,4.440408,6.0293827,4.497618,9.099593,8.885587
10-MFCC.csv,8.012236,5.342174,4.86833,4.1930227,7.5553856,2.6096778,8.438098,5.802542,5.061579,6.2241664,4.1731563,5.0083337,3.4935827,8.866171,9.005583
100-MFCC.csv,5.759445,7.101136,5.49105,5.268159,8.738437,5.0122447,9.302751,4.7585554,4.746983,5.385721,4.359894,6.0605583,4.581061,9.187404,8.924583
101-MFCC.csv,7.1564317,6.143783,5.168401,4.584924,8.370628,3.6701534,8.73467,5.4532447,4.725135,6.0429764,4.2545366,5.5790763,4.1076555,8.82434,9.076788
102-MFCC.csv,8.6754055,5.024283,4.455965,4.2562246,7.2236004,2.0069966,8.524267,6.135644,5.291721,6.0769925,4.168267,5.0546384,3.229533,9.082768,9.058682
103-MFCC.csv,7.7102313,5.3200126,5.5731063,3.9151554,8.288608,2.3464577,8.224883,5.26005,5.086132,6.328449,3.9218578,4.7113028,3.7684863,8.200815,8.863262
104-MFCC.csv,8.201754,5.601425,5.054369,4.0551386,8.081187,3.2859783,8.471951,5.834053,4.7209187,6.435912,4.142574,5.4508467,4.0596147,8.81136,9.585951
105-MFCC.csv,8.615044,5.069105,4.4398465,4.289876,7.186327,2.0972366,8.542477,6.17098,5.3176775,6.0785856,4.3114195,5.165425,3.288879,9.168654,9.053653
106-MFCC.csv,7.364191,6.0730624,4.9184623,4.707606,8.03934,3.1669245,9.002659,5.606845,4.778427,5.773638,4.051821,5.256685,3.8445435,9.043823,9.036355
107-MFCC.csv,6.3386226,6.2627125,5.395305,4.120882,8.472885,3.9863508,8.481615,4.74224,4.589402,6.4529834,4.3292613,5.904435,4.5641665,8.110031,8.793584
108-MFCC.csv,6.241448,6.272728,5.3227854,4.203656,8.443923,4.1482034,8.561209,4.661037,4.7020583,6.267314,4.3938518,5.754925,4.45903,8.162221,8.766194
109-MFCC.csv,7.8853135,5.5133705,5.003254,4.3684,7.910335,2.2848334,8.682367,5.6295795,5.0558143,5.9119134,3.9071038,4.7288136,3.441663,8.8220005,8.866932
11-MFCC.csv,8.288208,5.4782133,4.8703,4.2844005,8.011979,2.6563733,8.617221,5.9663844,4.8798275,6.1671047,4.027835,5.1413503,3.7096267,8.918848,9.373947
110-MFCC.csv,7.345845,5.817178,4.9845037,4.740745,8.130902,3.190174,8.726248,5.7896137,4.8898,5.943821,4.2869205,5.3989363,3.7197435,9.015244,9.039839
111-MFCC.csv,5.6918135,7.0350275,5.306212,5.3667836,8.736049,5.0371566,9.260767,5.0334563,4.718853,5.389221,4.5417175,6.079507,4.4536304,9.304912,8.749846
112-MFCC.csv,8.612108,5.078672,4.6414375,4.202373,7.36042,2.3483777,8.560019,6.21378,5.257065,6.156121,4.118688,4.8818946,3.1556578,9.062203,9.199118
113-MFCC.csv,8.154201,4.9237475,4.68906,4.392774,7.6159096,2.3761683,8.444269,6.1859627,5.3228807,6.145532,4.393018,4.951879,3.1295075,9.0626745,8.984749
114-MFCC.csv,7.758205,5.4955564,5.3225975,3.8024101,8.101946,3.222593,8.190332,5.3625975,4.8285446,6.6075196,4.222173,5.3582277,4.160405,8.365214,9.230337
115-MFCC.csv,7.3736806,5.9055815,4.7713804,4.8136373,7.906879,3.2023673,8.9783125,5.8321543,4.8471594,5.808033,4.238979,5.339078,3.748853,9.195112,9.092253
116-MFCC.csv,6.024074,6.681244,5.283992,4.920215,8.636991,4.641697,8.89025,5.071711,4.5420938,6.0064645,4.489638,6.070049,4.4728403,8.712248,8.808831
12-MFCC.csv,7.9945545,5.095312,4.8521504,4.4746075,8.034266,2.023657,8.510879,5.978069,5.1923976,6.0511327,4.1452026,4.724387,3.2520545,8.844468,8.924368
13-MFCC.csv,8.499733,5.0253816,4.36018,4.5032687,7.5416746,2.2554154,8.703425,6.3522024,5.271056,6.035502,4.272464,4.866356,3.003254,9.263549,9.1612015
