,Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,cluster
0,national_anthem_mfcc.csv,7.264211,5.3982344,4.0795617,5.4139433,6.8620086,3.7352061,7.6300488,2.6347854,5.391035,5.33718,4.299501,3.4762094,4.6457777,3.4357119,7.5687556,4.8296003,6.7619786,5.3342423,0
1,Michael Jackson - Thriller (Official 4K Video) [sOnqjkJTMaA]-MFCC.csv,6.6186504,5.527828,5.2430024,5.069596,6.5175467,3.2720637,8.248336,4.1187563,5.7213655,3.7551446,5.12005,3.4386618,5.8188367,3.5977507,9.179558,5.4049783,7.951328,5.9653997,4
2,Michael Jackson - Beat It (Official 4K Video) [oRdxUFDoQe0]-MFCC.csv,7.080912,5.268325,4.5669465,4.92297,6.7702737,3.401692,7.946043,2.8855479,5.4720564,4.621207,4.4863133,3.0700326,4.8785567,3.6149437,8.252648,5.31217,7.16031,5.3866057,2
3,01-MFCC.csv,7.4105005,5.534731,4.2634854,4.8845935,6.7196145,3.2865314,7.995842,2.6087627,5.734864,4.788204,4.7102523,3.1957219,4.3212857,3.335384,7.7137413,5.477518,7.246064,5.110465,2
4,02-MFCC.csv,7.43133,5.5235767,4.1259093,4.7596545,6.661958,3.1811118,8.085602,2.4819057,5.692074,4.7174845,4.5933037,2.7750888,4.255559,3.3599062,7.742822,5.754632,6.9938064,4.934185,2
5,03-MFCC.csv,6.6700673,5.650804,5.4523664,5.076477,6.5910378,3.3911812,8.179522,4.245891,5.7387557,3.515766,5.2360363,3.5030398,5.8079486,3.559842,9.272143,5.398953,8.049435,5.983263,4
6,04-MFCC.csv,6.439958,4.904176,5.2955437,5.45455,6.2409296,3.4937053,8.48138,3.6783857,5.3064485,3.905013,4.6733036,3.4348311,5.3615875,4.2177753,9.464373,5.054808,7.7935243,6.0068617,1
7,05-MFCC.csv,7.425205,5.675293,3.824897,5.37564,6.981284,3.762651,7.4048448,2.6591215,5.4048085,5.642806,4.2012644,3.2757564,4.6447873,3.3796859,7.4784775,5.023838,6.513087,5.136842,0
8,06-MFCC.csv,6.2438083,5.0392466,5.5866103,5.4456058,6.1464157,3.5076149,8.403074,3.4629538,5.332604,3.7154098,4.860463,3.5509021,5.487971,4.223401,9.609302,5.085046,7.9603467,5.868194,1
9,07-MFCC.csv,6.7492075,5.1466303,4.6682425,5.222313,6.4591184,3.3562062,8.185297,2.9535956,5.450687,4.61461,4.494937,3.2277396,4.992239,3.8429415,8.679182,5.2074237,7.372981,5.578722,3
