,Filename,Encoded_1,Encoded_2,Encoded_3,Encoded_4,Encoded_5,cluster
0,01-MFCC.csv,0.6434344,-2.851939,-5.2110534,-10.303394,2.6587822,0
1,02-MFCC.csv,-3.72823,-5.8285356,-5.5311475,-15.845565,-3.4356244,5
2,03-MFCC.csv,0.20830849,-2.059277,-1.8140038,11.597314,4.434951,0
3,04-MFCC.csv,7.0438104,-4.727042,4.675518,5.899301,3.0964499,0
4,05-MFCC.csv,-12.154913,1.8101462,3.2147434,-4.4281836,5.913825,1
5,06-MFCC.csv,4.1926136,-4.9400773,-3.1723738,5.0162635,0.351083,0
6,07-MFCC.csv,0.20303866,-4.737818,4.2914653,-1.8871666,-0.98787594,5
7,08-MFCC.csv,-3.2096424,-4.6320844,-9.197919,3.797303,5.7834997,5
8,09-MFCC.csv,-7.0841427,3.2611878,4.2855306,-11.015683,2.6399293,1
9,10-MFCC.csv,-2.1386724,-1.2177548,0.340396,5.098347,-5.937927,0
10,100-MFCC.csv,-5.260369,6.9777193,1.6131841,-12.285153,4.946118,4
11,101-MFCC.csv,0.08666028,-4.8124785,4.1286874,-1.8627944,-0.811155,5
12,102-MFCC.csv,-0.657027,-4.4679413,1.8572387,6.8562894,-9.0444145,5
13,103-MFCC.csv,0.26661518,-2.4751773,-2.6779964,12.841817,7.3959517,0
14,104-MFCC.csv,2.173322,-7.994706,-5.220181,5.7536006,1.5501176,5
15,105-MFCC.csv,-0.6726947,-5.2555695,2.8138692,2.7635138,-12.135911,5
16,106-MFCC.csv,4.6918287,1.8971853,2.0961874,-0.634631,-0.07252324,2
17,107-MFCC.csv,7.1979914,-0.04937125,-11.348458,-10.155736,1.6808143,2
18,108-MFCC.csv,2.2686362,-3.331195,-7.83657,-13.746228,4.853775,0
19,109-MFCC.csv,0.8049208,-5.326825,1.3157058,7.411078,-0.9820368,5
20,11-MFCC.csv,2.814101,-6.9816847,1.10898,6.650715,0.08630633,5
21,110-MFCC.csv,9.89516,6.6069193,7.5422254,1.7460464,2.4291363,2
22,111-MFCC.csv,-14.372569,8.313972,-1.6219503,-4.1745534,4.470741,1
23,112-MFCC.csv,0.16861817,-6.8288913,-1.0167869,5.658366,-3.222781,5
24,113-MFCC.csv,0.69999045,-5.4907393,-6.293228,8.161161,-3.2699602,5
25,114-MFCC.csv,3.4588494,1.5533786,-10.160638,5.329813,3.784369,2
26,115-MFCC.csv,6.3281765,2.4874208,5.8553977,0.34669924,-6.008909,2
