Filename,Encoded_1,Encoded_2,Encoded_3,Encoded_4,Encoded_5,Encoded_6,Encoded_7,Encoded_8,Encoded_9,Encoded_10
01-MFCC.csv,4.667574,-0.2252967,-1.5889429,0.92818767,4.108506,-4.1162395,-1.228258,6.3571672,-3.0997834,1.6492182
02-MFCC.csv,6.2916174,7.1969037,-1.3877717,8.123416,0.37937275,-3.6369839,-0.19364306,3.4917808,-4.45143,11.804222
03-MFCC.csv,-1.5009573,-7.115786,0.8900787,1.9751582,-7.4881864,4.6202593,-2.7876666,-2.2242985,6.4567556,-4.8136787
04-MFCC.csv,-2.640165,-3.629818,1.6175905,-2.2664213,-8.236713,5.2013793,2.6844559,0.27630925,0.60007006,-2.1368995
05-MFCC.csv,0.31977585,3.500333,-0.66071343,-1.9497488,7.3322444,0.5962052,-5.894595,1.1654342,-4.2624536,-3.5154538
06-MFCC.csv,1.2608156,-7.8365703,3.2872362,-1.0515002,-5.7195873,-2.712322,1.9490154,-1.5317483,1.1843519,0.16323596
07-MFCC.csv,3.6583374,-3.8727217,0.6554797,-0.15210661,1.6316006,-3.815282,1.0169576,-1.9060885,-5.866714,-1.9942281
08-MFCC.csv,-0.7161513,-10.014565,1.0636038,5.1586485,-3.4332976,-0.6103754,-2.7075577,2.9573948,3.8178487,-0.22992775
09-MFCC.csv,2.6847792,4.366039,-2.1719372,-1.7164519,13.859884,-1.7110118,-3.8433366,2.32659,-8.069107,2.2339838
10-MFCC.csv,-4.462841,-3.6919203,4.4229703,-5.2462997,-2.2280934,2.2522438,3.4827902,-2.2370276,1.8796276,-4.037394
100-MFCC.csv,-0.6807259,2.3610308,-5.906106,-2.4336035,17.255322,-7.617079,-6.9142537,0.48830134,-8.957414,1.9509573
101-MFCC.csv,3.6847174,-3.9031415,0.585155,-0.20822059,1.6192135,-3.80131,1.132073,-1.8207742,-5.823507,-2.0990524
102-MFCC.csv,-4.263063,-5.5527177,2.6082916,-10.864572,-2.8143566,-7.835742,5.735593,-4.925392,3.6374714,-6.0363994
103-MFCC.csv,-2.8102481,-9.258143,-1.9990807,5.2402987,-6.441081,6.0463557,-3.2300694,-2.2215784,6.1659946,-3.3911352
104-MFCC.csv,-0.11985913,-2.1215446,-0.709052,-0.38472933,-9.613951,-0.44081798,0.14193164,2.0931134,2.4927065,-7.6852145
105-MFCC.csv,-6.256565,-2.0300102,5.790694,-11.879479,0.78430545,-8.6486,5.7589602,-3.6030018,1.5446576,-6.05767
106-MFCC.csv,-4.3035707,-0.3753979,0.8796861,1.2285622,2.0224395,-3.707971,0.59954333,-5.176362,0.17160398,1.4380003
107-MFCC.csv,1.8792648,-3.3421817,2.7419677,1.4130689,3.4295979,-9.608015,-2.7070532,8.8549,-1.587028,3.5486224
108-MFCC.csv,3.8671184,-3.442031,1.1302274,4.4681077,5.9369774,-8.134442,-4.5122023,6.3572383,-9.155793,4.818696
109-MFCC.csv,-0.3800836,-9.447802,2.9301012,-2.9361951,-4.904871,-2.0929434,1.1530198,-4.1600294,0.67594576,-4.7268195
11-MFCC.csv,-2.3630803,-3.8332038,0.6037352,-2.159861,-8.122109,-2.3396313,0.059578758,-4.004595,1.4447455,-6.0265255
110-MFCC.csv,-1.305159,0.825816,-3.7955244,-5.2956524,4.366706,4.460477,5.9410014,-9.694334,4.2659745,5.854901
111-MFCC.csv,6.3693514,1.8998526,3.975995,-4.308656,7.980567,-4.7403173,-11.629053,0.98196495,-7.181041,2.3163872
112-MFCC.csv,-4.7103033,-6.6710715,3.711345,-0.0976872,-5.4799814,-1.8987161,5.6072903,-1.4896874,0.58037394,-5.7387085
113-MFCC.csv,3.4587097,-6.3296714,3.6928573,-3.0363276,-7.605975,-1.8631644,3.887103,0.25115794,6.5966988,-4.1009946
114-MFCC.csv,3.4100997,-2.7010338,-0.5376684,5.305598,-6.6278815,-0.19948408,-0.28532484,4.3503075,4.9118657,3.5099483
115-MFCC.csv,-0.9582237,4.3536525,4.6707067,-6.320251,4.1669936,-1.0116637,9.428067,-5.7520356,3.8575773,6.7643876
116-MFCC.csv,13.264613,14.617877,1.9805509,3.9159374,-3.3151505,6.6153183,-10.1387825,-8.651535,-2.0247805,10.158091
12-MFCC.csv,-5.3393726,-7.6593537,5.40197,-0.33603963,-9.067653,2.337174,2.1989806,-5.2079906,4.9435716,-0.89336866
13-MFCC.csv,-4.6993403,-5.2823896,6.2053995,-2.760829,-8.580832,-3.4295037,6.015896,-1.9294732,2.1886282,-3.1800647
14-MFCC.csv,-10.511656,-2.8311315,-8.404975,1.6024268,-4.1151423,-5.4422255,10.321869,3.7909348,-2.6527133,5.156285
15-MFCC.csv,1.0656487,-3.0844276,-0.45517665,0.34824613,-0.6414653,1.3224765,6.1340985,0.4185737,-0.9067909,3.4354582
16-MFCC.csv,9.635155,7.5361323,4.371473,9.798514,-2.0674255,-10.000401,-4.915632,5.6893005,10.147489,17.850052
17-MFCC.csv,9.341245,9.945568,0.1408181,8.564717,-3.365907,-2.5614011,0.38782033,4.5048513,2.2644563,14.3028755
18-MFCC.csv,-4.2089467,-2.2726624,-3.6910348,-1.6314596,7.1155095,0.6259876,-14.424965,-0.5614053,-1.9515847,0.03194336
19-MFCC.csv,0.9613694,-4.2658534,0.86625427,-3.6363664,-5.9251795,0.66883606,0.5526818,-0.0531591,-0.7145082,-2.0003896
20-MFCC.csv,-2.5171707,-13.133696,0.33875334,4.3936496,-3.9985676,0.07831273,-3.9762857,2.3655548,6.366524,-6.9009905
