,Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,cluster
0,01-MFCC.csv,7.6608415,5.055798,6.3207006,7.192031,7.2635994,1.5624343,5.753283,6.6079884,3.7581816,5.9658875,3.7588804,4.3295565,2.6700745,3.0780685,4.462299,2.0737996,5.105857,4.2183704,0
1,02-MFCC.csv,7.7239823,5.1896777,6.272979,7.134087,7.492516,1.6473265,5.5542874,6.80424,3.579938,6.2025805,3.694486,4.283723,2.6073592,3.1663666,4.5019655,2.1712804,5.246513,4.1083517,0
2,03-MFCC.csv,8.119557,6.6652517,7.1506,6.607544,8.209768,2.4838371,5.6774225,5.7486863,3.4571304,6.5945725,4.4218016,5.562432,2.9811382,1.8545425,3.0400217,2.5578604,5.2644763,3.9652755,1
3,04-MFCC.csv,8.30993,6.121066,7.1014714,6.823913,7.8114395,2.2397351,5.899201,5.3429375,3.5782852,6.3614016,4.459626,6.159409,2.9626737,1.8426225,2.6988397,2.5646625,5.1075587,4.233315,1
4,05-MFCC.csv,8.32087,4.431232,6.136753,7.843438,7.075306,0.8014969,5.7327223,6.6516113,4.6607165,6.1975036,3.5927315,4.69508,2.6438046,2.8292758,4.6052833,2.5041347,5.091229,4.9282336,2
5,06-MFCC.csv,8.377448,6.276571,6.84969,6.8155184,7.7484927,2.5151424,5.900389,5.486885,3.8087077,6.5773544,4.615864,5.880809,2.9083755,1.6013068,2.6713707,2.5599601,5.465693,4.287346,1
6,07-MFCC.csv,8.123529,5.3200426,6.564344,7.208793,7.334039,1.8448364,5.9760327,6.0945277,4.158672,6.2042046,3.9823523,5.357349,2.6820366,2.3179655,3.5376775,2.4434583,5.070106,4.4690423,5
7,08-MFCC.csv,7.953983,6.252055,7.049129,6.5996485,7.994426,2.381621,5.7606163,5.971567,3.4878318,6.4492464,4.2635555,5.357139,2.8324773,2.1062143,3.3104012,2.4465504,5.153023,3.926749,1
8,09-MFCC.csv,8.465592,4.560215,5.922037,7.856516,6.976087,0.85433024,5.5911527,6.6963644,4.71732,5.9744673,3.7744443,4.7439036,2.812519,2.8296614,4.6066957,2.4294999,4.9904637,4.799303,2
9,10-MFCC.csv,8.227744,6.2202206,6.8841114,6.887454,7.5092626,2.4381297,6.015798,5.478847,3.849024,6.669503,4.401315,5.9053664,3.0305638,1.6844682,2.5771787,2.8087947,5.150304,4.253986,1
10,100-MFCC.csv,8.519298,4.459494,5.8500957,7.955463,6.917568,0.7376333,5.567424,6.7666154,4.803904,5.939794,3.739769,4.6925173,2.8252432,2.8796065,4.709217,2.4290898,5.0072083,4.868512,2
11,101-MFCC.csv,8.118034,5.2296176,6.5853176,7.207119,7.3593273,1.7647748,5.910089,6.068697,4.0866632,6.1858077,4.061302,5.312918,2.7513082,2.3588262,3.5908241,2.3763702,5.1578994,4.5040874,5
12,102-MFCC.csv,8.506259,6.5744925,6.504824,6.870251,7.0632367,2.9909682,6.1480327,5.182718,3.8762093,7.0297008,4.744147,6.0869646,3.003808,1.5040013,2.0627873,3.2688615,5.152682,4.25936,4
13,103-MFCC.csv,8.049916,6.61672,7.1484895,6.6026316,8.228841,2.4092634,5.618755,5.809686,3.4030955,6.5449176,4.391389,5.518326,3.0415673,1.9003068,3.1061783,2.5067174,5.3101444,3.9334354,1
14,104-MFCC.csv,8.083199,5.441432,6.8569994,6.683423,7.3839726,2.4239028,6.2884417,5.6810503,3.9596922,6.0846357,4.18838,6.0285444,2.5044587,2.0204506,2.6905072,2.26358,5.135908,4.3356867,3
15,105-MFCC.csv,8.448547,6.419145,6.429791,6.7822056,6.9442782,3.0204785,6.196606,5.2413635,4.036927,7.0274935,4.6630235,6.080721,2.9245129,1.4555802,2.0397196,3.272442,5.122791,4.2507763,4
16,106-MFCC.csv,8.38307,5.544516,6.601005,7.26612,7.39648,1.9146167,5.928973,5.7666306,4.201234,6.3512053,4.2584686,5.6688824,2.899414,1.9540141,3.1639473,2.5391972,5.2443256,4.604649,5
17,107-MFCC.csv,7.6649723,5.28662,6.4161987,7.1111073,7.3465605,1.7412896,5.80181,6.5622387,3.7520459,5.996401,3.8689764,4.424375,2.6365347,3.0672243,4.408164,2.0589623,5.1032443,4.2007146,0
18,108-MFCC.csv,7.6860757,5.118136,6.329021,7.2470994,7.2091093,1.5569314,5.810245,6.6287127,3.917048,5.8644557,3.8574417,4.3719296,2.6551127,3.0921493,4.487282,2.0448174,5.0235157,4.31284,0
19,109-MFCC.csv,8.450384,6.385919,6.877995,6.9453173,7.732296,2.382028,5.8221393,5.365083,3.629193,6.633117,4.70284,5.9036055,3.120576,1.7075346,2.6966786,2.7276905,5.4800477,4.2930055,1
20,11-MFCC.csv,8.303924,5.8665547,6.9390078,6.798375,7.492651,2.4952004,6.1977735,5.451495,3.8136294,6.313664,4.4217267,6.1922064,2.7107053,1.8214582,2.5207896,2.596794,5.181789,4.3138485,3
21,110-MFCC.csv,8.455441,5.723736,6.722482,7.3488736,7.5319624,1.9211717,5.927217,5.6444154,4.34461,6.4339485,4.151785,5.870888,2.9054937,1.8115321,3.0800364,2.7359266,4.8953333,4.595253,5
22,111-MFCC.csv,8.502652,4.4051256,5.847523,8.025973,6.9854164,0.63633865,5.6601815,6.7245603,4.851058,6.0218315,3.6093886,4.588347,2.8898382,2.8065054,4.7141623,2.3226535,5.018456,4.844789,2
23,112-MFCC.csv,8.510951,6.335049,6.685213,6.796706,7.2273564,2.9876444,6.252501,5.243162,4.0673356,6.8061576,4.5550437,6.269786,2.7404356,1.5663447,2.1234984,3.1401973,5.0193324,4.2654734,4
24,113-MFCC.csv,8.650524,6.5244584,6.7764244,7.0142612,7.663539,2.706337,5.9173794,5.1070986,4.0043173,6.762493,4.5871305,6.197814,2.8598382,1.5924665,2.3909202,3.104088,4.9235344,4.359033,4
25,114-MFCC.csv,7.830498,5.758171,7.023857,6.529765,7.8089576,2.4427454,6.097611,5.9948373,3.7875102,6.121739,4.041411,5.517419,2.475997,2.1593702,3.1324592,2.2106755,5.003531,4.040816,3
26,115-MFCC.csv,8.498846,5.615543,6.5161285,7.334908,7.3176255,1.9921528,5.9357486,5.6719055,4.367482,6.4399557,4.2495546,5.755982,2.8887694,1.8581717,3.059875,2.6874175,5.0990176,4.6605225,5
27,116-MFCC.csv,8.100366,4.784465,6.18601,7.566287,7.2360206,1.1483692,5.6744757,6.6252522,4.231601,6.208574,3.6378322,4.5446043,2.7417889,2.867257,4.4901056,2.3763072,5.1275053,4.559776,2
28,12-MFCC.csv,8.527835,6.59578,6.911105,6.8454337,7.7418323,2.5245883,5.777753,5.249721,3.6580274,6.7534633,4.633257,6.123133,3.0440478,1.635075,2.572093,2.9413261,5.1175284,4.198957,1
29,13-MFCC.csv,8.69473,6.214821,6.4730434,6.8717017,7.08645,2.7917943,5.974638,5.044191,4.2118115,6.8672566,4.598463,6.400219,2.7882824,1.4030131,2.1015234,3.2408717,4.873927,4.371291,4
30,14-MFCC.csv,8.118662,5.775947,6.8577147,6.695486,7.424198,2.5710819,6.223598,5.830563,3.9985833,6.406393,4.151676,5.964272,2.527095,1.8782758,2.7603707,2.6158006,4.9595423,4.1977763,3
31,15-MFCC.csv,8.308019,5.5966372,6.7905,7.043667,7.48589,2.1221437,6.049341,5.7044973,4.058116,6.2951694,4.2584786,5.8936663,2.764949,1.9059215,2.964442,2.4726417,5.2073884,4.47877,5
32,16-MFCC.csv,7.594166,5.1390586,6.2896786,7.192392,7.3831334,1.5236968,5.6264706,6.6828365,3.5916846,6.122641,3.6591136,4.0944266,2.8251324,3.1533513,4.6563506,2.089753,5.1126194,4.0546417,0
33,17-MFCC.csv,7.638126,5.1024427,6.237886,7.1862235,7.442814,1.5262997,5.5400276,6.7712126,3.5437744,6.1761384,3.606987,4.1385393,2.768823,3.1580567,4.596246,2.1687782,5.1681247,4.0456433,0
34,18-MFCC.csv,8.371838,4.2867413,6.107307,8.012905,7.02824,0.63431686,5.80128,6.6694193,4.764239,6.2408185,3.4871812,4.5890026,2.6776297,2.8370793,4.681133,2.4558134,5.1946096,5.0566697,2
35,19-MFCC.csv,8.27734,5.930206,7.055193,6.8436484,7.703681,2.203998,5.9870543,5.365968,3.5501575,6.2763996,4.5447764,6.1446447,2.9439182,1.8277746,2.6566303,2.4495692,5.3620806,4.29897,1
36,20-MFCC.csv,7.98643,6.401797,7.1007295,6.5431304,8.084933,2.4744487,5.7457767,5.9025435,3.4381754,6.482587,4.3346915,5.420549,2.8590512,2.0234344,3.1911576,2.4689918,5.220698,3.9024305,1
37,21-MFCC.csv,8.149463,5.473112,6.8027353,6.93754,7.4026437,2.3416545,6.2443705,5.8630166,4.182347,6.2151423,4.0377893,5.813364,2.4828804,2.0258763,2.94133,2.496186,4.9715223,4.389503,3
