,Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,cluster
21,110-MFCC.csv,6.4857655,5.186688,5.892894,7.735683,4.443862,3.8757083,6.615565,8.2681675,7.377806,4.225591,4.913112,4.9109974,4.3970833,5.375933,2.1427765,7.1547103,6.818302,5.804224,5.1315203,6.218528,2
22,111-MFCC.csv,5.758437,5.1314373,4.7824793,7.185788,4.749609,3.6511493,5.690639,7.146356,6.1908436,4.87265,4.888995,5.3030586,3.6813118,4.963016,2.1979294,6.7419586,6.936049,7.4022803,5.979962,5.887385,3
23,112-MFCC.csv,6.882215,5.158293,6.4590025,8.150832,4.2884164,4.246683,7.279886,8.941386,7.9669075,3.4707823,4.6999364,4.8381267,5.2595315,5.1366086,2.1212792,7.2324724,6.6903577,4.981942,4.808684,6.4158835,5
24,113-MFCC.csv,6.9799705,5.176147,6.5406427,8.179544,4.2863183,4.049847,7.2916656,8.980789,7.92422,3.618985,4.90443,4.7084928,4.9397707,5.501321,1.9887241,7.375857,6.95532,4.874878,4.6619234,6.3608294,5
25,114-MFCC.csv,6.260862,5.46833,5.7672496,7.5432944,4.519827,3.6872616,7.4232626,8.330772,7.767715,4.037507,5.7433763,4.981687,4.2472725,5.086348,1.3321502,6.7937937,6.5534096,5.924233,4.7157474,6.417515,4
26,115-MFCC.csv,6.444363,5.177987,5.944799,7.84658,4.4720974,3.7042913,6.5968313,8.281556,7.3820615,4.2271986,4.7465467,4.9012017,4.514134,5.386545,2.2319148,7.1896167,6.7125416,6.007659,5.290365,6.184906,2
27,116-MFCC.csv,5.6874394,5.3228583,4.804024,6.928628,4.5803223,3.6661155,6.164551,7.505803,6.7970734,4.60634,5.3240314,5.167568,3.7804766,4.776088,1.9237902,6.380475,6.7588243,7.01915,5.610161,5.8857446,3
28,12-MFCC.csv,6.9144483,4.9594355,6.5457306,8.007138,4.2517214,3.636232,7.1891427,8.846893,8.00187,4.036655,5.0217395,4.819654,4.5515447,5.533871,1.988591,7.411379,7.0744057,4.9447713,4.636182,6.3359327,1
29,13-MFCC.csv,7.0211773,5.0763683,6.590116,8.273493,4.2550282,4.202498,7.261897,9.085397,7.952086,3.4381223,4.6063423,4.7836256,5.3030176,5.197071,2.299068,7.3253813,6.8739157,4.8202415,4.815168,6.3529434,5
30,14-MFCC.csv,6.45541,5.2497487,5.972325,7.876672,4.38465,3.81323,7.3032985,8.453731,7.757548,3.7165573,5.1313405,4.795697,4.716959,5.151679,1.7065756,6.997767,6.4563317,5.8171606,4.8588624,6.5922503,2
