Filename,Encoded_1,Encoded_2
01-MFCC.csv,2.4517667,12.290236
02-MFCC.csv,15.701141,23.92217
03-MFCC.csv,15.257103,-11.255069
04-MFCC.csv,7.188927,-7.869111
05-MFCC.csv,-8.70484,8.96705
06-MFCC.csv,5.334535,-7.558859
07-MFCC.csv,-2.4478817,-0.030117037
08-MFCC.csv,-8.973163,-11.452622
09-MFCC.csv,-6.9995046,16.902203
10-MFCC.csv,2.9247904,-7.0762916
100-MFCC.csv,-11.149085,16.62083
101-MFCC.csv,-2.432537,-0.056239247
102-MFCC.csv,2.4585638,-14.706201
103-MFCC.csv,17.223845,-12.272515
104-MFCC.csv,-5.4330697,-12.740806
105-MFCC.csv,1.7573373,-12.622735
106-MFCC.csv,-2.627584,0.29222628
107-MFCC.csv,3.244511,12.705888
108-MFCC.csv,2.9584894,17.36199
109-MFCC.csv,7.747482,-11.320321
11-MFCC.csv,5.9082365,-9.903253
110-MFCC.csv,18.283829,-1.3211577
111-MFCC.csv,-11.27605,9.584707
112-MFCC.csv,-2.848132,-14.684463
113-MFCC.csv,8.037056,-11.7568865
114-MFCC.csv,11.597654,9.999883
115-MFCC.csv,16.671478,3.7896461
116-MFCC.csv,18.22165,24.16739
12-MFCC.csv,12.436466,-13.875371
13-MFCC.csv,5.4498153,-12.996213
14-MFCC.csv,-3.6460397,-6.0773067
15-MFCC.csv,1.1755373,-1.2417237
16-MFCC.csv,35.15249,35.750835
17-MFCC.csv,26.08189,30.733486
18-MFCC.csv,-15.874376,5.1490493
19-MFCC.csv,4.2436895,-6.652174
20-MFCC.csv,-15.765419,-18.546377
21-MFCC.csv,-2.4959083,-3.9207628
22-MFCC.csv,-2.866247,-6.345644
23-MFCC.csv,22.6618,2.8716462
24-MFCC.csv,17.35329,-8.788686
25-MFCC.csv,3.4979823,-6.144356
26-MFCC.csv,-16.193855,7.8613324
27-MFCC.csv,-0.41475338,22.752413
28-MFCC.csv,-8.7883835,5.6713567
29-MFCC.csv,-6.7060943,16.417187
30-MFCC.csv,-4.989207,-4.493164
31-MFCC.csv,27.630806,22.083273
32-MFCC.csv,26.664806,-7.242836
33-MFCC.csv,5.559679,-13.439885
34-MFCC.csv,7.464234,-5.246707
35-MFCC.csv,2.227869,9.653759
36-MFCC.csv,8.804022,-1.5984721
37-MFCC.csv,-4.32864,-5.8590374
38-MFCC.csv,2.0285423,-12.705711
39-MFCC.csv,4.7577395,-13.517016
40-MFCC.csv,31.475533,-3.0634985
41-MFCC.csv,7.5969033,-15.7518835
42-MFCC.csv,3.346436,-8.221161
43-MFCC.csv,-2.850316,-13.212031
44-MFCC.csv,19.666233,-14.993056
45-MFCC.csv,7.660681,13.352997
46-MFCC.csv,-5.883936,7.6006193
47-MFCC.csv,-4.594401,-14.651481
48-MFCC.csv,3.7216663,-5.9171553
49-MFCC.csv,6.685493,-9.850344
50-MFCC.csv,-5.6376395,10.962715
51-MFCC.csv,-12.082756,15.117016
52-MFCC.csv,5.846164,-9.094241
53-MFCC.csv,-10.407754,-11.712643
54-MFCC.csv,-2.3575566,-5.9351845
55-MFCC.csv,-4.679574,-6.4066668
56-MFCC.csv,6.274076,-12.580916
57-MFCC.csv,2.6027007,-1.7835128
58-MFCC.csv,-1.6894758,-2.1038752
59-MFCC.csv,-7.0384965,13.675711
60-MFCC.csv,-6.0573144,-1.4638593
61-MFCC.csv,2.1706645,9.5225
62-MFCC.csv,7.6319785,-12.293045
63-MFCC.csv,-17.60475,10.374581
64-MFCC.csv,-2.464763,-7.888204
65-MFCC.csv,2.0585597,1.3152237
66-MFCC.csv,-5.2314487,10.689989
67-MFCC.csv,12.733976,23.992365
68-MFCC.csv,-2.2234426,-4.4597974
69-MFCC.csv,-8.869217,-9.766233
70-MFCC.csv,5.769387,-8.354655
71-MFCC.csv,-3.4172626,0.5659714
72-MFCC.csv,3.3869777,-8.79068
73-MFCC.csv,6.56864,-11.8831415
74-MFCC.csv,14.740665,-8.822637
75-MFCC.csv,5.818498,18.470901
76-MFCC.csv,-4.443947,-15.048118
77-MFCC.csv,5.640663,-13.119756
78-MFCC.csv,-15.447165,-15.059414
79-MFCC.csv,19.965574,-4.690139
80-MFCC.csv,-4.193072,9.057597
81-MFCC.csv,13.093965,21.4258
82-MFCC.csv,-3.6670904,6.272784
83-MFCC.csv,-5.6972933,8.804601
84-MFCC.csv,-11.390381,13.862936
85-MFCC.csv,-0.8326637,-13.788749
86-MFCC.csv,-11.52474,-11.308932
87-MFCC.csv,5.0444937,15.9961
88-MFCC.csv,-5.9180293,-8.224518
89-MFCC.csv,-6.419078,-16.699366
90-MFCC.csv,10.884323,21.933928
91-MFCC.csv,3.6630898,-10.188177
92-MFCC.csv,-1.212964,3.7560093
93-MFCC.csv,-10.161556,11.5079975
94-MFCC.csv,0.5992039,-2.062081
95-MFCC.csv,3.532568,12.76304
96-MFCC.csv,-9.556082,13.8721895
97-MFCC.csv,-13.163996,10.233136
98-MFCC.csv,-19.433514,-6.563905
99-MFCC.csv,8.485254,-18.405493
