Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40
100-MFCC.csv,6.6865525,4.610706,5.566533,6.4848695,7.3445616,3.6051278,4.7591977,6.1381283,6.5465703,6.4232836,3.3672915,6.7780094,5.4623775,5.1720085,2.6551847,4.168549,4.552111,5.842096,5.857875,5.0652857,5.129116,5.0900693,3.5048633,3.6621468,6.49557,1.8795439,4.7706685,5.5073757,4.4580073,5.0234265,4.7054143,5.9743085,1.6012692,3.3558445,3.6653628,4.764878,5.5703883,5.152703,5.700801,4.7781363
101-MFCC.csv,7.4847045,4.8422017,5.471633,6.8267245,6.995878,4.0564165,4.928201,6.367154,6.5143714,6.154024,3.4315696,6.4301653,5.4015713,4.8824315,3.1225457,3.871482,4.8165975,6.1672606,5.983238,5.196716,5.563888,5.000705,3.6622381,4.3914733,6.101761,2.982468,4.276288,5.8131466,4.4535003,4.1434746,4.798178,5.448739,2.12552,3.1617088,3.7651482,5.0573373,5.7240753,5.3845706,6.074781,4.4660993
102-MFCC.csv,8.593261,4.7611704,5.445401,7.005571,6.6133075,4.158921,5.3051395,6.211748,6.337075,5.9955363,3.4500349,5.602062,6.1212606,4.735097,3.5042758,3.5308998,5.2236238,6.0924406,5.719015,4.9298134,5.9302287,5.0310955,3.6485193,5.7087865,5.708222,4.6568327,4.0245214,6.06245,4.1778793,3.2628329,4.9894614,5.0568123,2.0129945,3.1503491,3.3825853,5.3893247,5.351036,4.813283,6.300664,3.9834282
103-MFCC.csv,7.8944035,5.1742196,5.2620354,7.141273,6.6455946,4.4380903,5.211707,6.6301126,6.440738,5.934374,3.6432598,6.021425,5.1308618,4.449024,3.8425586,3.4906704,5.096599,6.11372,5.963369,5.230971,6.012793,4.708133,3.5485346,5.0073657,6.0039315,3.6252706,4.203625,5.924499,4.674326,3.7678232,5.1778274,5.18072,2.5711198,2.8705492,3.8380146,5.4141455,5.6922727,5.4622226,6.3110547,4.094143
104-MFCC.csv,7.7528186,4.9014025,5.6102967,6.9452143,6.9702234,4.0481415,5.0289426,6.34857,6.5882435,6.2196693,3.3996382,6.265109,5.558371,4.8653197,3.0947514,3.8699634,4.8687778,6.2552667,6.0300865,5.172212,5.775874,5.0724125,3.7857277,4.764374,5.920147,3.652566,3.8483226,5.9247785,4.2270346,3.4742067,4.6373134,4.999162,2.459281,3.235033,3.8520672,5.1459475,5.921497,5.383753,6.143687,4.3406286
105-MFCC.csv,8.593892,4.7238,5.470912,6.9832535,6.6525073,4.1080847,5.30165,6.190684,6.3631296,6.0252333,3.4381673,5.6281443,6.160699,4.7888293,3.448281,3.5704763,5.1941767,6.1148305,5.7336226,4.9303966,5.9029217,5.056179,3.6563225,5.693471,5.710357,4.6465173,4.016631,6.0603595,4.1393337,3.280953,4.9529667,5.072624,1.9667362,3.1874192,3.3746066,5.365256,5.3667173,4.780095,6.2911873,4.0128117
106-MFCC.csv,7.8627257,4.716678,5.4925175,6.783707,7.0424924,3.9341998,5.030622,6.42896,6.558383,6.192922,3.3280153,6.154487,5.684837,4.9887843,3.1685274,3.8561902,4.836749,6.248196,5.8228407,5.0350165,5.7173877,5.1138515,3.567433,4.6191382,6.157213,3.264289,4.2759,5.8265266,4.3537464,4.111457,4.85541,5.4578247,1.9926336,3.2345526,3.494914,5.074525,5.6256566,5.069666,6.083254,4.424606
107-MFCC.csv,6.717559,4.8898664,5.3387303,6.8841605,6.878932,4.1764827,4.678951,6.138924,6.381808,6.112269,3.6577742,7.0000973,5.023787,4.717688,2.9357126,3.833465,4.8872786,5.922166,6.230045,5.386673,5.1402807,4.7653933,3.8107862,3.9226007,6.0759478,2.4768932,4.3900876,5.8019195,4.552584,4.3047113,4.7144284,5.6169677,2.239059,2.9365966,4.184567,5.036759,5.617632,5.91915,6.023529,4.4804087
108-MFCC.csv,6.6078434,4.930961,5.307997,6.7617292,6.9175096,4.1329823,4.715002,6.0877757,6.265566,6.1686816,3.6361563,7.0333934,4.992858,4.648539,2.9658349,3.8799908,4.883117,5.858436,6.154243,5.3544664,5.120829,4.8560696,3.7904932,3.798903,6.135359,2.2775414,4.5149884,5.6938906,4.5805635,4.374681,4.738987,5.6951756,2.2413428,2.939047,4.147753,5.044849,5.6372766,5.8769865,5.9177856,4.523034
109-MFCC.csv,8.242031,4.9366994,5.335637,7.221231,6.704456,4.3352385,5.0503683,6.4878426,6.473113,6.0019965,3.5929484,5.9817824,5.5341506,4.61986,3.5161777,3.5924811,5.2421165,6.050394,5.8688416,5.1210814,5.859715,4.7045875,3.646073,5.2034674,5.9120345,3.8688219,4.165934,6.1496673,4.414976,3.6904986,4.9345107,5.2371244,2.0719266,2.9303267,3.7227411,5.260576,5.335621,5.2201114,6.388243,3.945666
