,Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,cluster
24,113-MFCC.csv,8.432158,9.534029,3.8536618,3.4276524,6.1883116,3.3816135,5.120522,5.614979,4.7873816,6.5271063,3.7424042,4.1231713,2.710776,6.534967,3.5056803,5.399713,4.7944183,3
25,114-MFCC.csv,7.9007955,8.935252,4.4175825,3.673673,6.266726,3.9551554,5.441218,5.941598,5.0720634,6.7036214,3.988893,4.2587276,4.0062943,7.108235,3.6172845,5.1890693,3.7043755,5
26,115-MFCC.csv,7.652518,8.532657,4.440646,3.555248,5.8041124,4.371522,5.284674,5.9999366,4.62901,5.7491674,3.4628987,4.045738,3.3405032,6.062309,3.913528,5.1771874,4.362017,4
27,116-MFCC.csv,6.681847,7.713835,5.3715115,3.993924,5.8372283,5.0873885,5.934224,6.6501427,4.3319774,5.6339,3.4467938,4.2656555,4.617273,6.2499804,4.050585,4.7667956,3.5345626,2
28,12-MFCC.csv,8.2025,8.963923,3.795501,3.3990157,6.2602887,3.7103672,5.3187613,5.733401,4.9039917,6.4401383,3.9723802,4.2369018,2.5986528,6.68337,3.566498,5.3802814,4.958582,1
29,13-MFCC.csv,8.516019,9.680517,3.837254,3.250861,6.018257,3.2906842,4.8473635,5.4160986,4.649198,6.56562,3.578766,3.8019385,2.4982543,6.305209,3.5963945,5.3290143,4.6584797,3
30,14-MFCC.csv,8.112569,9.280574,4.3464994,3.4973292,5.9581895,3.672967,4.907679,5.850491,5.093238,6.310694,3.7829862,4.0704126,3.3998227,6.662847,3.8914065,5.2299023,4.058922,4
31,15-MFCC.csv,7.877966,8.892234,4.310143,3.5288317,6.0379496,4.0800157,5.165485,5.965823,4.840676,6.1143403,3.6808052,4.0493436,3.4590702,6.513889,3.9202132,5.174434,4.2234154,4
32,16-MFCC.csv,6.576815,7.9142947,5.5852184,4.0480146,6.2393594,4.8711185,6.334196,6.8681107,4.090075,5.945583,3.5667446,4.2733216,4.8819366,6.7531624,3.8167553,4.5686383,2.9873445,0
33,17-MFCC.csv,6.632962,7.926058,5.6098,4.1088943,6.2366624,4.932254,6.287489,6.797363,4.1846375,5.8597636,3.474826,4.3214617,4.8651605,6.774797,3.8350163,4.6062922,2.9256532,0
34,18-MFCC.csv,6.4759693,7.343751,5.1460347,3.9705582,5.5930247,5.4700785,5.7243595,6.671852,4.47238,4.9485035,3.4274292,4.1603265,4.3203926,5.761794,4.400991,4.986588,3.8154643,2
35,19-MFCC.csv,8.211752,9.024803,4.040079,3.4873357,6.497336,3.8793976,5.3320713,6.0203815,4.82484,6.306934,3.9706445,4.2095985,3.329296,6.7936096,4.0028467,5.1721997,4.6651177,1
36,20-MFCC.csv,7.7529535,8.549933,4.0769625,3.7385447,6.6838923,3.7166986,5.597656,5.8128443,5.0126805,6.7772965,4.245171,4.452634,3.4777849,7.2506356,3.3830187,5.410203,4.207364,5
37,21-MFCC.csv,7.929168,9.05576,4.4794855,3.5805123,5.918756,3.9576797,5.1205873,5.8832207,4.926345,6.2428007,3.5708528,4.062926,3.696318,6.5926366,3.8246677,5.2192993,3.9102557,4
38,22-MFCC.csv,8.203181,9.129829,4.284507,3.5126438,6.113017,4.043292,5.167567,5.9415746,5.00797,6.257267,3.7404454,4.1230216,3.726944,6.688645,4.0304084,5.200749,4.2262993,4
39,23-MFCC.csv,7.47477,8.2929325,4.5403247,3.601561,5.7859187,4.5637374,5.370654,6.0815215,4.595197,5.5858855,3.4589517,4.0823746,3.3993874,5.9998293,3.9867299,5.1701818,4.382623,4
40,24-MFCC.csv,8.2028265,9.15251,3.8245287,3.4646573,6.2439976,3.561264,5.308809,5.6916943,4.812781,6.5327487,3.8783476,4.2084846,2.6884463,6.66426,3.3931959,5.3920474,4.8094897,1
41,25-MFCC.csv,7.9012733,8.928862,4.114045,3.5439823,6.4507313,3.865337,5.4072623,6.041284,4.5905037,6.127958,3.9287205,4.168519,3.1252062,6.579539,3.937196,5.195103,4.724579,1
42,26-MFCC.csv,6.6655416,7.4407296,5.2559977,3.8452919,5.6390777,5.4510665,5.8594522,6.777718,4.2148204,5.066175,3.5232506,4.1780834,4.2175245,5.9148583,4.373292,4.723572,3.82974,2
43,27-MFCC.csv,6.6650405,8.003839,5.353904,3.7980292,6.216654,4.8980894,6.1713586,6.936775,4.1046505,5.6270695,3.6384025,4.124812,4.4835725,6.80375,3.9840279,4.6171126,3.0417852,0
44,28-MFCC.csv,6.7014513,7.5828614,5.168457,3.8961833,5.5897384,5.182417,5.7075233,6.5535016,4.453371,5.49557,3.4476304,4.268197,4.5339007,5.9605603,4.203421,4.8999705,3.900639,2
45,29-MFCC.csv,6.499455,7.4654994,5.2923985,4.0783563,5.714333,5.4375243,5.7124863,6.866986,4.382759,4.951101,3.262213,3.9944456,4.2289486,5.855455,4.4435854,4.848438,3.726588,2
46,30-MFCC.csv,7.8151464,8.649365,4.2295837,3.6420765,6.468195,3.9677432,5.441411,5.9869843,4.8648767,6.2995033,3.9332368,4.2989206,3.5236726,6.84899,3.8637044,5.262217,4.378387,1
47,31-MFCC.csv,6.830733,8.079349,5.2852125,3.933653,6.264451,4.6096525,6.129793,6.6892548,4.295185,6.198237,3.7434297,4.2292438,4.644847,6.8995924,3.7650561,4.7253194,3.1790872,0
48,32-MFCC.csv,8.46314,9.468734,3.6353385,3.2611876,6.074369,3.4777188,5.133716,5.518425,4.6436667,6.583755,3.7058787,3.9299152,2.3994918,6.420535,3.3288038,5.36842,4.877417,3
49,33-MFCC.csv,8.478047,9.682799,3.834452,3.2361774,5.891966,3.2834854,4.8645506,5.2902765,4.5882835,6.643019,3.4585679,3.7074738,2.457921,6.248338,3.4435446,5.3532023,4.5492673,3
50,34-MFCC.csv,7.971672,9.097013,4.426416,3.6253307,6.102658,3.8642995,5.245784,5.860562,5.0794296,6.6261325,3.8654256,4.166435,3.8832743,6.9397435,3.6493692,5.213605,3.7070117,4
51,35-MFCC.csv,6.6411257,8.099751,5.357803,3.8657904,6.30785,4.6647377,6.057013,6.8133907,4.2612696,5.888666,3.6757836,4.0065866,4.638961,7.1076956,3.830519,4.771719,2.9072592,0
52,36-MFCC.csv,7.693449,8.792584,4.3109145,3.5570436,5.876676,3.992224,5.131192,5.7925735,4.8008423,6.1065693,3.5786572,4.0462465,3.1910074,6.4195924,3.6135778,5.3216605,4.2286386,4
53,37-MFCC.csv,7.806187,8.994125,4.396423,3.6350822,6.0541925,3.795371,5.141371,5.836119,4.961523,6.409306,3.7730672,4.125554,3.5356472,6.748915,3.6408541,5.27506,3.8955603,4
54,38-MFCC.csv,8.377886,9.484459,4.0644245,3.4129992,5.9504986,3.10545,4.8096175,5.3691077,4.919721,6.335371,3.6854622,4.213652,2.2949455,6.249729,3.694385,5.5909953,5.015449,3
55,39-MFCC.csv,8.514716,9.526519,3.9882002,3.3479464,6.12254,3.2726233,4.8314857,5.5230193,4.9669175,6.4613557,3.765371,4.078684,2.6358788,6.482799,3.8655791,5.3956633,4.7710223,3
56,40-MFCC.csv,7.8725243,8.809785,4.128418,3.4385512,5.8102736,4.016781,5.1773963,5.7527304,4.675539,6.0304947,3.515668,4.0124235,2.8547187,6.1891007,3.569661,5.31432,4.5691147,3
57,41-MFCC.csv,8.699545,9.722626,3.8624804,3.27704,6.1275268,3.1731815,4.835798,5.5096307,4.8748665,6.4580407,3.661659,4.028816,2.573416,6.376861,3.8010597,5.3715405,4.9160986,3
58,42-MFCC.csv,8.399263,9.50271,3.7577195,3.2880373,6.247793,3.3772738,5.079936,5.599683,4.587133,6.574078,3.8148885,3.9100204,2.548061,6.4891596,3.56377,5.2694955,4.761705,3
59,43-MFCC.csv,8.48921,9.614401,4.1049128,3.3822477,6.0405436,3.2971191,4.779677,5.5825887,5.006821,6.4441404,3.7131138,4.0458455,2.8772962,6.496642,3.8762853,5.347024,4.5275044,3
60,44-MFCC.csv,7.955166,8.741383,3.8959732,3.6568534,6.5838137,3.8342493,5.6572485,5.866664,5.089173,6.864123,4.327665,4.447759,3.1966658,7.291961,3.3395689,5.344945,4.5110393,5
61,45-MFCC.csv,6.826563,8.025043,5.407172,3.9910712,6.1489415,4.790144,6.0920224,6.663632,4.2584615,6.0125213,3.5773888,4.2631383,4.7042203,6.7927957,3.8455272,4.677516,3.1172268,0
62,46-MFCC.csv,6.621931,7.576848,5.0987363,3.9138348,5.7402287,5.2223253,5.754087,6.5487523,4.559069,5.1906304,3.4829056,4.1619506,4.371302,5.9758663,4.2269425,5.0312643,3.6929626,2
63,47-MFCC.csv,8.016604,8.795137,4.0640965,3.6118853,6.5646086,3.5177772,5.4394445,5.728496,4.8053236,6.5584936,3.8431292,4.3837814,3.0645962,6.793002,3.604006,5.383485,4.6473064,1
64,48-MFCC.csv,8.058315,9.283816,4.305305,3.5537598,5.9349236,3.5780663,5.0404487,5.636681,4.854339,6.4519043,3.5472782,4.056846,3.2376735,6.5058265,3.5602722,5.3436503,4.116681,4
65,49-MFCC.csv,8.246062,9.2035055,4.028504,3.472227,6.2632236,3.470966,5.0776343,5.6946564,5.042332,6.4136624,3.9655154,4.26085,2.7956164,6.698548,3.811586,5.411441,4.7815714,1
66,50-MFCC.csv,6.755794,7.6269827,5.2321253,3.9180374,5.6378694,5.2047524,5.695404,6.6665826,4.332273,5.446795,3.3666072,4.1991916,4.345914,6.017265,4.2671328,4.7804813,3.8848953,2
67,51-MFCC.csv,6.42663,7.3711634,5.2332,3.9807708,5.7224784,5.4267597,5.8373537,6.6707535,4.5692325,5.0110664,3.419022,4.1270504,4.490576,5.9684086,4.2943068,5.0062084,3.5952673,2
68,52-MFCC.csv,8.207054,8.877328,4.0095534,3.4463513,6.3187594,3.9443784,5.2741632,5.851645,4.9925504,6.2460523,3.9395626,4.3117924,2.997626,6.6920204,3.9085393,5.3544116,4.8874626,1
69,53-MFCC.csv,7.9583488,8.838947,4.1826696,3.6608255,6.4385676,3.8653095,5.487108,5.8736243,5.129889,6.774645,4.1196666,4.3499093,3.7528567,7.206602,3.5502343,5.289436,4.0020685,5
70,54-MFCC.csv,7.8674755,9.050904,4.2811184,3.5883038,6.0771947,3.9519296,5.055663,5.855918,4.970971,6.282095,3.793295,4.072804,3.497401,6.694954,3.8477283,5.2893825,4.1487017,4
71,55-MFCC.csv,8.154705,9.155938,4.4135547,3.564571,6.0600634,4.0449944,5.1655526,5.9358363,5.040011,6.3439617,3.6987684,4.0968738,3.964493,6.763528,3.9686058,5.1815844,3.935506,4
72,56-MFCC.csv,8.456784,9.455992,3.7134283,3.2264793,6.0019064,3.46291,5.0645165,5.5279937,4.540022,6.443218,3.521058,3.8520775,2.4145725,6.2149115,3.411077,5.286359,4.8570657,3
73,57-MFCC.csv,7.8057547,9.090935,4.504028,3.6408036,5.8788695,3.7276824,5.08373,5.7591286,4.901688,6.3968296,3.5777857,4.0731072,3.5087867,6.594239,3.5595725,5.288597,3.7845201,4
74,58-MFCC.csv,7.7280135,8.880627,4.4692297,3.5769148,5.9460444,4.0787954,5.088998,5.9884825,4.9997973,6.1204367,3.7027144,4.0409145,3.730718,6.7142787,3.8712761,5.214518,3.7500434,4
75,59-MFCC.csv,6.497712,7.399351,5.1432505,3.9069362,5.757289,5.380382,5.8845367,6.6452093,4.4756465,5.0375624,3.5264485,4.0780034,4.5487494,5.9614964,4.27749,4.9719815,3.6137264,2
76,60-MFCC.csv,7.5243993,8.681134,4.4430737,3.6257236,5.883008,4.037967,5.172781,5.8205533,4.8027153,6.1018457,3.558866,4.0709376,3.3297253,6.482561,3.6068695,5.32211,4.1026907,4
77,61-MFCC.csv,6.8905993,8.216478,5.199593,3.794299,6.2448645,4.6040487,6.003982,6.683051,4.289504,5.9711504,3.6930413,4.1101203,4.4466734,6.874974,3.845134,4.7463207,3.1379073,0
78,62-MFCC.csv,8.319975,9.270005,3.7531066,3.3037438,6.229273,3.477643,5.155036,5.6038013,4.64022,6.496824,3.7917237,3.9861104,2.462423,6.465151,3.560955,5.3048725,4.890149,3
79,63-MFCC.csv,6.478532,7.338251,5.1025386,3.977766,5.714205,5.499471,5.7736917,6.725754,4.4353437,4.784069,3.453646,3.9939086,4.2465057,5.778391,4.443714,4.9800096,3.7384543,2
80,64-MFCC.csv,7.939073,8.658385,4.128664,3.582617,6.538984,3.9771287,5.4844418,6.031286,4.809506,6.2310805,3.9513075,4.3318653,3.325415,6.773267,3.963599,5.2350373,4.687828,1
81,65-MFCC.csv,7.6971164,8.888618,4.613435,3.6275349,5.8470335,4.097948,5.151031,5.9845304,4.891119,6.1349354,3.567989,4.039293,3.8032827,6.5688334,3.8271585,5.16683,3.68743,4
82,66-MFCC.csv,6.9604483,7.8394146,5.0065975,3.8118088,5.779807,5.020352,5.6474175,6.4756703,4.4687805,5.3871236,3.4445755,4.1399813,4.027898,6.0617867,4.1793475,4.947542,3.9275362,2
83,67-MFCC.csv,6.826355,7.756048,5.157111,3.8794956,5.8094063,5.1078334,5.750664,6.582112,4.409874,5.3508296,3.4188123,4.1730156,4.124658,6.1014667,4.1900554,4.8872247,3.7648966,2
84,68-MFCC.csv,8.227585,9.239962,4.36031,3.4762385,5.8595924,4.092712,5.0144863,5.8540015,5.078146,6.276866,3.6199903,3.9975796,3.8610294,6.6271863,3.9469066,5.1978855,3.8599465,4
85,69-MFCC.csv,7.7943826,8.64983,4.1923385,3.7107525,6.5997314,3.8108456,5.555465,5.912167,4.9829345,6.6785927,4.146256,4.387652,3.6815052,7.178893,3.5520153,5.3051105,4.0821147,5
86,70-MFCC.csv,8.011827,8.710664,3.9634905,3.5001297,6.469673,3.8013663,5.3693943,5.802245,4.8688145,6.382686,3.961128,4.296269,2.8984425,6.7690268,3.7568192,5.3531284,4.81694,1
87,71-MFCC.csv,8.080858,9.169786,4.402951,3.5125506,5.9054556,4.1046157,4.963484,6.0064106,5.085749,6.137304,3.7014697,3.997806,3.7943022,6.621475,4.112031,5.131685,3.9788637,4
88,72-MFCC.csv,8.372881,9.66097,3.8057022,3.3413475,6.08904,3.32516,5.066163,5.4728427,4.566868,6.6828628,3.6757636,3.863284,2.6009862,6.4612064,3.3385682,5.346677,4.576378,3
89,73-MFCC.csv,8.278554,8.846697,3.9291015,3.4477105,6.5391088,3.8018804,5.3734784,5.9043574,4.8502307,6.283531,3.8996303,4.3364844,2.9909196,6.703349,3.970277,5.286077,5.022971,1
90,74-MFCC.csv,7.966917,8.639152,3.9151015,3.5609214,6.428959,3.8602755,5.4932623,5.806636,5.071553,6.600092,4.1311493,4.406627,2.951521,7.0266604,3.5081325,5.39829,4.702259,5
91,75-MFCC.csv,6.5797877,8.015703,5.580242,4.0190334,6.326145,4.7965155,6.205385,6.853773,4.2116337,5.8403172,3.5472505,4.107195,4.845916,7.0402117,3.8098586,4.6528163,2.7066226,0
92,76-MFCC.csv,8.197937,9.17715,3.9693534,3.551669,6.6117153,3.4524884,5.236454,5.8293786,4.9341645,6.434831,4.1168647,4.3261113,2.9436522,6.8686075,3.8939013,5.3718586,4.863745,1
93,77-MFCC.csv,8.5452795,9.640606,3.713333,3.2056253,5.9400764,3.370383,4.9248996,5.3507156,4.618196,6.6309915,3.5292656,3.7520564,2.3947442,6.283548,3.4220674,5.3617077,4.699949,3
94,78-MFCC.csv,7.883478,8.633064,4.0261683,3.6848762,6.6887655,3.7603054,5.673258,5.8798513,5.0320916,6.795455,4.2373095,4.480911,3.4754512,7.269014,3.4823024,5.350152,4.3275843,5
95,79-MFCC.csv,8.277746,9.140395,3.7655337,3.2751434,6.0146976,3.6985946,5.152734,5.6100273,4.6471415,6.33953,3.6456404,3.9553583,2.4666355,6.3080893,3.4924617,5.321899,4.8851533,3
96,80-MFCC.csv,7.0039563,7.863299,4.927921,3.7747104,5.775315,4.9890256,5.6005454,6.4138727,4.518968,5.362374,3.4650667,4.110356,3.9734323,6.0358686,4.173183,5.007613,3.9876575,2
97,81-MFCC.csv,6.6729217,7.90385,5.566761,4.053996,6.1435256,4.9084044,6.2035975,6.744822,4.1547976,5.9101624,3.5215235,4.242793,4.804141,6.669697,3.8312,4.6023455,3.0349557,0
98,82-MFCC.csv,7.2056556,8.056407,4.779372,3.7087607,5.7996426,4.8063846,5.5098596,6.2884803,4.5484853,5.479156,3.4663181,4.1047645,3.7647016,6.051917,4.103009,5.0581656,4.1268845,2
99,83-MFCC.csv,6.6460395,7.588972,5.323297,3.9544988,5.6814694,5.2048545,5.8344727,6.6605496,4.3511267,5.4937105,3.431035,4.2674966,4.549006,6.0570865,4.171649,4.797252,3.7264729,2
100,84-MFCC.csv,6.440218,7.298558,5.340019,3.9208899,5.6956997,5.555662,5.9005857,6.8153715,4.427376,4.898488,3.4309123,4.1365304,4.451005,6.014957,4.3975177,4.8404164,3.5972087,2
101,85-MFCC.csv,8.564674,9.733839,3.9452791,3.3060448,6.0503182,3.2620537,4.7780805,5.4775953,4.8267403,6.54104,3.6527545,3.9116237,2.6758475,6.4118447,3.763572,5.3389416,4.5949388,3
102,86-MFCC.csv,7.7043767,8.5279665,4.167288,3.7364755,6.5994763,3.7556305,5.5159006,5.812294,4.992695,6.6866183,4.1089735,4.395187,3.6139684,7.1569705,3.4508908,5.3964024,4.0516877,5
103,87-MFCC.csv,6.594889,8.056647,5.4589643,3.9209037,6.315134,4.7527056,6.1941576,6.880739,4.172189,5.865092,3.6169825,4.117536,4.739338,7.066259,3.8387213,4.683444,2.828261,0
104,88-MFCC.csv,8.058842,9.179621,4.3989515,3.5859687,6.009346,3.9226665,5.117757,5.8523,5.0845885,6.4759836,3.7648072,4.101084,3.8377337,6.8129716,3.7777624,5.227227,3.8181229,4
105,89-MFCC.csv,8.070044,9.04623,3.990947,3.58663,6.7278247,3.468609,5.354344,5.8801084,4.8246374,6.4744697,4.171944,4.333105,3.0531864,6.908684,3.840855,5.3209424,4.758499,1
106,90-MFCC.csv,6.719915,8.092518,5.4857464,3.9841824,6.370448,4.888816,6.311231,6.868013,4.1692524,5.7749724,3.5414307,4.3306437,4.699667,6.971638,3.8695579,4.594583,2.8564458,0
107,91-MFCC.csv,8.432968,9.542693,3.774757,3.2195084,6.0464325,3.4121451,4.9490104,5.410793,4.5263762,6.5956097,3.5532734,3.7161832,2.4790435,6.285895,3.5354016,5.2883234,4.6392283,3
108,92-MFCC.csv,7.225045,8.363502,4.8659034,3.757568,5.911613,4.525381,5.4824696,6.291345,4.6716747,5.8461857,3.563307,4.109822,4.076308,6.482641,3.9640324,5.026774,3.6587238,4
109,93-MFCC.csv,6.381762,7.2489223,5.2823687,3.9462383,5.6450415,5.584556,5.8436213,6.740907,4.5035253,4.8091664,3.411591,4.147204,4.4459662,5.8311214,4.4043555,4.978057,3.6434255,2
110,94-MFCC.csv,7.6991405,8.541824,4.3912015,3.5924275,6.1799746,4.328425,5.440449,6.1747932,4.6290426,5.892137,3.6917803,4.1419687,3.559178,6.372193,4.098344,5.07778,4.409778,4
111,95-MFCC.csv,6.669729,8.075186,5.534159,3.9447308,6.256717,4.7017846,6.071197,6.7569838,4.206353,5.9344816,3.601144,3.9721026,4.7558913,6.9316735,3.757298,4.6605005,2.7937443,0
112,96-MFCC.csv,6.5869203,7.4192634,5.348364,3.9199088,5.665444,5.4986563,5.8108745,6.9163756,4.253214,5.01554,3.3682895,4.128393,4.197669,6.0446444,4.463222,4.6693864,3.767186,2
113,97-MFCC.csv,6.5542393,7.334611,5.1856055,3.957157,5.6332617,5.530817,5.775157,6.7692776,4.318499,4.879104,3.4526932,4.0829277,4.1537714,5.804691,4.463109,4.833035,3.8576393,2
114,98-MFCC.csv,7.580085,8.50761,4.3145766,3.7290242,6.37156,3.9387453,5.436839,5.862492,4.918512,6.459553,3.9462082,4.277103,3.6990783,6.951617,3.535339,5.3287644,3.9317932,5
115,99-MFCC.csv,8.7498,9.619864,3.8357651,3.211866,6.0937524,3.2255487,4.8328004,5.5492005,4.9004083,6.364646,3.644542,4.0291505,2.5548682,6.3234596,3.8711329,5.340177,5.0268283,3
