,Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,UMAP_26,UMAP_27,UMAP_28,UMAP_29,UMAP_30,UMAP_31,UMAP_32,UMAP_33,UMAP_34,UMAP_35,UMAP_36,UMAP_37,UMAP_38,UMAP_39,UMAP_40,UMAP_41,UMAP_42,UMAP_43,UMAP_44,UMAP_45,UMAP_46,UMAP_47,UMAP_48,UMAP_49,UMAP_50,UMAP_51,UMAP_52,UMAP_53,UMAP_54,UMAP_55,UMAP_56,UMAP_57,UMAP_58,UMAP_59,UMAP_60,UMAP_61,UMAP_62,UMAP_63,UMAP_64,UMAP_65,UMAP_66,UMAP_67,UMAP_68,UMAP_69,UMAP_70,UMAP_71,UMAP_72,UMAP_73,UMAP_74,UMAP_75,UMAP_76,UMAP_77,UMAP_78,UMAP_79,UMAP_80,UMAP_81,UMAP_82,UMAP_83,UMAP_84,UMAP_85,UMAP_86,UMAP_87,UMAP_88,UMAP_89,UMAP_90,UMAP_91,UMAP_92,UMAP_93,UMAP_94,UMAP_95,UMAP_96,UMAP_97,UMAP_98,UMAP_99,UMAP_100,cluster
0,01-MFCC.csv,6.9750338,4.3387303,3.407457,4.0845184,4.1874866,4.5562325,5.147269,3.9702125,4.307138,6.1362376,5.233354,4.8489056,4.296231,4.740479,4.101498,5.056048,5.166122,3.3038967,4.7828865,5.3783765,7.0931606,5.3922563,6.0941496,5.176463,6.283177,4.481421,5.028849,5.9042835,5.004088,6.3952417,5.250272,4.6078196,4.2961454,7.131053,4.937526,4.4744363,5.1941695,4.6332793,4.0135245,3.915259,4.4416585,5.176872,4.8035436,6.125459,5.608008,5.362135,4.552251,6.621867,5.2711444,5.1002817,5.3549733,5.324556,3.7900753,6.164296,3.8675368,5.2519903,4.2784934,4.938449,4.9901805,3.0239003,4.7507076,3.5339167,5.0660424,4.175432,5.1877246,4.0152836,4.839989,5.6206284,4.625633,5.601519,4.0732126,4.708975,4.707853,4.3104672,4.881178,5.612677,4.860183,5.503095,5.954661,5.3520064,5.37422,5.1123223,6.073575,4.5711894,4.9763494,4.3354006,4.0372524,3.8499796,5.460842,4.41763,3.9814327,5.592248,5.6589804,5.7749662,5.580946,5.189088,5.3378935,3.9211462,5.595603,5.1209135,0
1,02-MFCC.csv,6.973533,4.1900253,3.376401,4.1584187,4.163086,4.488683,5.2135134,3.9987404,4.292489,6.078025,5.2562413,4.7321496,4.3306947,4.8819985,4.114557,4.9992986,5.3764644,3.4147608,4.7398987,5.372795,7.089713,5.397233,6.009283,5.161097,6.178395,4.5282054,5.139673,5.86919,4.995504,6.3430233,5.1962347,4.574771,4.219928,7.1378107,4.872116,4.516184,5.1843724,4.649785,4.05572,3.8559263,4.462663,5.1615725,4.804764,6.1754336,5.5630336,5.317856,4.515316,6.5629144,5.3829103,5.0913644,5.3639865,5.290094,3.8825777,6.0936704,3.9001775,5.268562,4.271682,4.930483,5.0350795,3.0205913,4.8128085,3.5209928,5.069054,4.1198354,5.320424,4.068862,4.798685,5.5423126,4.673647,5.6018796,4.137113,4.637607,4.722396,4.3351765,4.8774643,5.566885,4.8835263,5.543635,5.9712715,5.263933,5.3264303,5.0789723,6.0660315,4.570796,5.020589,4.351257,4.0411,3.7965715,5.4991083,4.357868,3.9062924,5.5493293,5.5656896,5.682393,5.568721,5.225161,5.3680663,3.9243693,5.57534,5.112144,0
2,03-MFCC.csv,7.464271,5.469628,3.5817752,3.996045,3.9688532,4.448002,4.8790016,3.8333418,4.3677797,5.913645,4.7828684,5.104538,4.287748,5.1622453,4.062858,5.2532496,5.607094,3.14407,4.691054,5.4938426,7.2092223,5.5578275,6.146698,5.384833,6.5997963,3.927155,4.0958953,5.969755,4.2237763,6.725456,5.515597,4.5603304,4.5030546,6.9822516,4.8795266,4.6923933,5.3730354,4.639302,4.1018534,3.7228577,4.355543,5.172884,5.3517327,5.905888,5.7122545,5.524478,4.620536,6.9085608,5.1334,4.5283895,5.1899714,5.37182,3.6955037,6.3031397,3.6056972,5.213312,4.5667515,5.2471395,4.8585143,2.9661076,4.554574,3.6187744,4.837563,4.481599,6.106584,3.9546301,4.7153716,5.646232,4.62468,5.651381,4.0753484,4.8991947,4.750473,4.4242115,4.949481,5.6098647,4.718783,5.5633197,5.893869,5.469483,5.496391,5.2896233,6.7482824,5.2908278,4.9285517,4.3708005,3.8292289,3.4180415,5.507779,4.4900284,4.116387,5.666464,6.626938,6.0663295,5.505544,5.034021,5.318582,3.350714,5.639223,4.9387093,4
3,04-MFCC.csv,7.472141,5.7032094,3.5268202,3.8925984,4.01688,4.4696765,4.9191318,3.746772,4.6007943,6.2203245,4.8276467,5.432549,4.348066,4.9806876,4.088969,5.281975,5.3580756,2.990471,4.7298236,5.509154,7.2268944,5.461996,6.172125,5.615633,6.45811,3.9424582,4.00819,5.963373,4.314968,6.579922,5.512869,4.646343,4.543453,7.0357547,5.0509186,4.532797,5.3897953,4.6445246,4.1254787,4.0250382,4.52433,5.1000366,5.3601403,5.792687,5.8613524,5.6055927,4.7357078,6.897335,5.0418773,4.656517,5.1365647,5.3367004,3.725074,6.460929,3.423694,5.2266383,4.712998,5.450032,4.727598,2.8767889,4.2656574,3.605983,4.834102,4.472906,6.0636983,3.9831018,4.66259,5.6525745,4.687762,5.5122356,4.105993,4.844947,4.719656,4.511788,4.9391074,5.535614,4.658814,5.6009803,5.759707,5.5696554,5.5106053,5.369953,6.735401,5.3926363,4.8602195,4.3955946,3.6961076,3.3704863,5.475365,4.478329,4.2856503,5.717844,6.365375,6.1654124,5.462397,4.886611,5.389791,3.3417573,5.7730265,4.9178443,2
4,05-MFCC.csv,6.909894,4.2253485,3.2962751,3.8824673,4.4005713,4.5465713,5.384553,3.7960062,4.4525733,6.5416203,5.4343333,4.8332577,4.291977,4.3981433,4.1440735,5.0376186,4.65827,3.1740882,4.8773227,5.3573174,7.062278,5.2216716,6.11375,5.4289,6.016738,4.705414,5.102945,5.8205857,5.1633086,6.029824,5.1497197,4.794369,4.3054266,7.0913258,5.1815352,4.2495165,5.21853,4.6767898,4.007405,4.3397465,4.6223826,5.0421095,4.9463367,5.967017,5.730618,5.327112,4.682167,6.46852,5.123601,5.3232226,5.268842,5.1969395,3.9162123,6.3989835,3.6939962,5.3143826,4.4725175,5.0803475,4.851298,2.8902895,4.503195,3.5126975,5.1889696,4.051941,5.036783,4.110384,4.797097,5.6088867,4.763562,5.2994084,4.139608,4.4853916,4.639345,4.4741263,4.765837,5.452768,4.8255334,5.5111737,5.704532,5.4736066,5.4643574,5.204918,5.811351,4.364605,4.8506684,4.3616643,3.8839855,4.075111,5.342454,4.3460903,4.2635226,5.6367517,5.240536,5.7373614,5.533768,4.969494,5.521957,4.285279,5.843382,5.1503572,3
5,06-MFCC.csv,7.5836897,5.701436,3.4319348,3.983243,3.960148,4.31863,4.879334,3.723679,4.5509825,6.175304,4.774663,5.2883315,4.3416624,4.9475513,4.1106305,5.2809815,5.493399,3.0335212,4.5997996,5.582007,7.3335185,5.47322,6.081476,5.592805,6.450453,3.9490983,4.0408273,5.9466515,4.268985,6.668405,5.4652023,4.5749736,4.538916,7.0526996,5.0898857,4.516753,5.484913,4.701204,4.030403,4.0117607,4.2940135,5.0945477,5.581877,5.8623333,5.8799953,5.6361713,4.667512,6.9152975,5.0544453,4.603186,5.1310186,5.2442656,3.8108804,6.425271,3.4172423,5.3251324,4.7432494,5.4465394,4.8203897,2.8876107,4.276661,3.6356285,4.821996,4.4790616,6.1761484,4.0883303,4.5629945,5.5666246,4.782848,5.4673443,4.0990925,4.8311996,4.787751,4.5981026,4.9848723,5.4920034,4.696766,5.6321754,5.7677493,5.479587,5.498254,5.4177485,6.8181286,5.320373,4.859621,4.421171,3.6741366,3.4543984,5.4761863,4.3710227,4.2573743,5.6752815,6.758126,6.107405,5.420609,4.933857,5.445058,3.328733,5.752114,4.851037,2
6,07-MFCC.csv,7.244087,5.0523705,3.4088712,3.9181092,4.1506276,4.483114,5.080648,3.7985117,4.50732,6.3373537,5.0723386,5.155182,4.30359,4.697427,4.1030183,5.182709,5.0799594,3.0870636,4.7489295,5.466403,7.1895294,5.3674397,6.140523,5.4746065,6.302972,4.285415,4.5307384,5.921601,4.672561,6.415137,5.3490586,4.666271,4.453949,7.0444884,5.1108904,4.409642,5.3456683,4.648136,4.0027437,4.1437573,4.4355497,5.1000986,5.1891375,5.899877,5.792482,5.4972086,4.6643577,6.74213,5.06268,4.927819,5.2181754,5.2599797,3.7931526,6.394255,3.5744612,5.2893066,4.5761204,5.250809,4.841642,2.9210956,4.3593116,3.5949206,4.9872684,4.3041687,5.618425,4.051496,4.707995,5.620851,4.715578,5.430726,4.0833745,4.7303224,4.717773,4.4907427,4.884172,5.52152,4.751928,5.548142,5.763665,5.5041585,5.4884963,5.3056946,6.3520083,4.945427,4.863687,4.3794003,3.7995522,3.7169454,5.4121475,4.4010596,4.2468843,5.6559205,6.0560565,5.969234,5.4996305,4.9647937,5.4411407,3.7470913,5.7613745,5.005071,2
7,08-MFCC.csv,7.3689775,5.2464385,3.539624,4.031373,3.9956048,4.4484186,4.9207606,3.879261,4.3281293,5.951404,4.86695,4.978989,4.277273,5.018808,4.0726438,5.1991687,5.5027633,3.19359,4.658487,5.478155,7.2282004,5.524868,6.1185737,5.277658,6.572273,4.078176,4.3655367,5.9769707,4.3499255,6.73069,5.451847,4.5212054,4.46386,7.0141087,4.914775,4.6583867,5.3766956,4.6095324,4.0219016,3.7194433,4.255989,5.203207,5.2550735,5.9906383,5.686968,5.5168667,4.5477824,6.858886,5.159283,4.6196804,5.263718,5.329947,3.711774,6.229368,3.7031798,5.262864,4.472094,5.1308885,4.9637146,3.02339,4.6257987,3.633595,4.907102,4.4106374,5.867742,3.9988775,4.715828,5.6191087,4.6503367,5.6627083,4.023313,4.890382,4.7817273,4.3992743,4.960191,5.6331654,4.789125,5.537066,5.9269166,5.4181075,5.457734,5.2658687,6.585521,5.12249,4.945692,4.3624167,3.905187,3.5816317,5.477878,4.431253,4.0707383,5.6188836,6.5955486,5.9711356,5.5200467,5.11196,5.3320823,3.4909136,5.5919466,4.972633,4
8,09-MFCC.csv,6.9061494,4.316764,3.3068924,3.9548936,4.4177966,4.5722275,5.3552365,3.8137734,4.458229,6.4705586,5.4127536,4.7114906,4.3186064,4.505486,4.150846,5.0270333,4.7891173,3.1714084,4.8517876,5.3834777,7.1005273,5.2297235,6.09907,5.349538,6.007777,4.7062144,5.2038136,5.8560534,5.243755,6.1332316,5.219059,4.745726,4.286077,7.179439,5.149698,4.213043,5.1935124,4.6807528,4.012612,4.284039,4.6725335,5.0852213,4.895229,6.0247893,5.740327,5.395772,4.6589093,6.4853783,5.158581,5.198606,5.305089,5.2492743,3.8637934,6.352927,3.7208972,5.331115,4.4076777,5.0562024,4.889651,2.9463017,4.6213126,3.5112836,5.1713862,4.0580463,4.984345,4.051999,4.818662,5.6287026,4.7370005,5.449248,4.0931396,4.572639,4.6689677,4.40727,4.8328094,5.5045953,4.8533983,5.5114303,5.7823095,5.4483423,5.4321837,5.185805,5.803039,4.3151965,4.87305,4.357884,3.9476008,4.1107736,5.3586607,4.3738923,4.2038355,5.6267886,5.2522187,5.7506247,5.5499396,5.0283723,5.4454217,4.253013,5.7744536,5.1498613,3
9,10-MFCC.csv,7.6102495,5.3919544,3.442022,4.009702,3.982621,4.3453608,4.867952,3.7737684,4.3956995,6.1894503,4.80674,5.537551,4.36957,4.907578,4.069549,5.3103046,5.3582597,3.0866864,4.629042,5.57419,7.2439494,5.6084137,6.099806,5.620275,6.4018254,3.8476694,4.026889,5.927779,4.270559,6.5951905,5.3699126,4.585234,4.510537,6.961688,5.029246,4.5987544,5.4542904,4.7251983,4.096874,4.0796614,4.3400874,5.0684915,5.477225,5.8277364,5.736467,5.430282,4.7009697,6.8640966,5.0591793,4.6488476,5.1136274,5.2599745,3.8445415,6.4018226,3.4561327,5.2514405,4.728515,5.4197073,4.7442627,2.870774,4.0352674,3.6570802,4.760847,4.511897,6.1332574,4.0890503,4.580007,5.524397,4.7051187,5.3174663,4.222427,4.7901907,4.77401,4.6080093,4.976238,5.429129,4.6361265,5.660152,5.7363605,5.4947658,5.491076,5.41463,6.8338923,5.42545,4.904329,4.449883,3.5768552,3.347018,5.528219,4.3949995,4.2417383,5.6686454,6.795375,6.101316,5.426081,4.913931,5.4350324,3.366998,5.7756333,4.812287,2
