Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18
asha_bhosle_1-MFCC.csv,7.131743,7.747602,5.23084,9.998521,6.8018703,11.810365,0.18683249,7.561963,2.2829974,6.2808986,6.7619596,4.883461,7.6888156,3.1503258,6.8920703,10.76129,4.577499,-2.7897196
asha_bhosle_10-MFCC.csv,7.066888,7.85554,5.587325,10.301618,6.288985,11.355259,0.08138966,7.587578,2.3445325,6.3874273,6.255077,4.435951,7.6423855,2.3831723,7.44191,10.798911,4.537085,-2.6029935
asha_bhosle_11-MFCC.csv,7.0562086,7.8682823,5.196557,10.075127,6.6074862,11.61172,0.31992835,7.745833,2.382508,6.4406157,6.5782456,4.845062,7.7786875,3.005307,7.1048083,10.681304,4.671305,-2.601441
asha_bhosle_12-MFCC.csv,7.2110977,7.8535414,5.0554,10.085062,6.7901244,11.781993,0.087066405,7.665427,2.41517,6.2640004,6.767361,4.8193173,7.755465,3.0728364,7.269023,10.879144,4.681943,-2.903097
asha_bhosle_13-MFCC.csv,7.0819135,7.8026624,5.195025,9.974829,6.760699,11.865151,0.28311533,7.637853,2.2846699,6.36959,6.694845,4.986626,7.7261567,3.2401166,6.8483644,10.724004,4.5525184,-2.68983
asha_bhosle_14-MFCC.csv,7.2682567,8.001902,5.0636907,10.185862,6.77745,11.506766,0.12396983,7.6979065,2.4363678,6.399354,6.739698,4.7371554,7.763983,2.8324287,7.4249797,10.857773,4.7829156,-2.8818905
asha_bhosle_15-MFCC.csv,7.0894184,7.978903,5.144945,10.239443,6.453421,11.503378,0.24685463,7.8453474,2.4742293,6.4887176,6.444197,4.7123866,7.796684,2.8054616,7.3473845,10.775329,4.7013116,-2.6189675
asha_bhosle_16-MFCC.csv,7.22511,8.036601,5.12301,10.256921,6.4890275,11.471014,0.111956075,7.8082547,2.5370576,6.4070516,6.5454535,4.6887035,7.756092,2.6905844,7.5273294,10.924087,4.7841744,-2.816069
asha_bhosle_17-MFCC.csv,7.0381083,7.7505493,5.3937907,9.936619,6.8122706,11.574508,0.3956864,7.5278006,2.2046602,6.4345546,6.719854,4.885361,7.6904116,3.0332866,6.8131013,10.559632,4.612279,-2.5789294
asha_bhosle_18-MFCC.csv,7.3139777,8.054434,5.221224,10.13303,6.4857616,11.489423,0.08737871,7.6356597,2.4327865,6.349264,6.6378436,4.828172,7.680953,2.705561,7.3697305,11.026128,4.748156,-2.9296398
asha_bhosle_19-MFCC.csv,7.096081,7.7881365,5.2196116,10.043558,6.555559,11.657627,0.11073832,7.542406,2.3155868,6.2574825,6.5338593,4.7196093,7.788343,2.9099643,7.2863846,10.857843,4.558334,-2.7725062
asha_bhosle_2-MFCC.csv,7.202694,7.9273167,5.3554335,10.223298,6.467431,11.431035,0.052236114,7.620912,2.4208055,6.3442364,6.5048695,4.588981,7.674993,2.5576138,7.491351,10.91875,4.672895,-2.8075259
asha_bhosle_20-MFCC.csv,7.1336784,7.762164,5.3347473,10.14136,6.7867293,11.518296,0.08862363,7.534391,2.3102322,6.3258095,6.6318474,4.547636,7.7083387,2.7598076,7.3691072,10.732513,4.6170783,-2.7366922
asha_bhosle_3-MFCC.csv,6.9611835,7.748818,5.8429394,10.323688,6.1450367,11.311155,0.07734622,7.513586,2.271724,6.3844857,6.0858192,4.300613,7.567092,2.2236063,7.408828,10.730192,4.4151573,-2.454128
asha_bhosle_4-MFCC.csv,7.0686827,7.7859783,5.378008,10.062158,6.8342056,11.542598,0.25396085,7.4333253,2.1599867,6.4212146,6.5961785,4.661633,7.729126,2.8772595,6.896436,10.690857,4.4729733,-2.7012975
asha_bhosle_5-MFCC.csv,7.0051007,7.68042,5.3450217,9.972729,6.612449,11.825321,0.18719164,7.4643598,2.1934423,6.259613,6.5249977,4.7991014,7.7206874,3.093994,6.8742423,10.765727,4.397763,-2.6829648
