,Filename,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25,cluster
0,01-MFCC.csv,7.2827344,5.6728168,4.0254316,6.550057,7.6431303,4.1703563,6.376234,7.2603407,6.5384464,4.367665,5.971862,4.6873336,3.0225747,4.511892,6.326755,3.7593899,4.74362,5.772817,2.5178723,5.2841263,3.1409013,5.520642,7.0917554,6.2322373,6.9578943,0
1,02-MFCC.csv,7.210931,5.7396684,4.357189,6.6179805,7.295044,4.236994,6.420939,7.4271564,6.510369,4.344603,5.905402,4.562267,3.0261226,4.3055196,6.3425384,3.5388198,4.8355746,5.9077873,2.34714,5.2975063,3.2518368,5.4289794,7.2094326,6.1470065,6.9333286,0
2,03-MFCC.csv,7.6632376,5.5100985,2.2900486,6.202453,8.49379,4.2260766,7.021503,6.5593944,6.2374635,3.668443,6.417399,5.7827497,4.3289604,5.079774,5.7712116,4.467453,4.224877,5.087519,2.9498885,5.258131,3.3035333,5.4985533,6.833607,6.9624887,5.956391,2
3,04-MFCC.csv,7.5862565,5.2612343,2.3484943,6.1043167,8.747895,3.9214194,7.0797358,6.376819,6.347236,4.021478,6.630116,5.7589927,3.825484,4.9327364,5.5928044,4.493199,4.291915,4.8956285,2.885697,5.639385,2.9363968,5.8912587,6.9685087,7.1030626,6.0071177,2
4,05-MFCC.csv,6.827609,5.434555,4.112037,6.367947,7.9979935,3.4368227,5.8441663,7.131199,7.0962133,4.9546757,6.1753087,4.7835684,2.6475651,4.6009517,6.5025105,3.9381034,4.977467,5.4109955,2.4961882,5.98323,2.5873294,6.154804,7.2221823,6.452453,7.322789,4
5,06-MFCC.csv,7.5925875,5.3231416,2.4231954,6.1275253,8.827011,4.0426836,7.177845,6.390019,6.140101,3.8951724,6.6480417,5.7783895,3.8332558,5.444187,5.4994364,4.5746937,4.181427,4.844251,2.6876254,5.683407,2.9263954,5.72737,6.883966,6.882101,5.759845,2
6,07-MFCC.csv,7.275293,5.4300356,3.3227582,6.2277565,8.296563,3.8502061,6.567046,6.7797832,6.536653,4.3669214,6.426599,5.16623,3.1993814,4.8909407,6.0236154,4.1591783,4.569658,5.196125,2.6848106,5.646273,2.8293462,5.8168354,7.020928,6.667653,6.566057,5
7,08-MFCC.csv,7.532947,5.575752,2.7371411,6.283339,8.286087,4.284859,6.909961,6.662891,6.2353806,3.719323,6.3204694,5.5246396,3.8878794,4.931138,5.8532057,4.272443,4.2941585,5.319907,2.9646785,5.1028776,3.2655957,5.420097,6.8491035,6.8598547,6.2526646,1
8,09-MFCC.csv,6.9332213,5.245387,3.992149,6.489926,8.038197,3.4896357,5.9339843,7.152872,7.0236773,5.111073,6.1897807,4.8350616,2.7059367,4.5354085,6.384641,4.0664315,4.9655604,5.4312105,2.5437605,5.8907933,2.7450852,5.967617,7.2987413,6.5589633,7.183859,4
9,10-MFCC.csv,7.927608,5.098578,2.2986703,6.1393704,8.7707,3.838816,7.1017222,6.4271207,6.136566,3.8925066,6.558271,5.907303,3.5747533,5.343011,5.687251,4.747745,4.1885815,4.672211,2.9174597,5.521555,3.1586213,5.8361864,6.832054,7.0063753,6.108619,2
10,100-MFCC.csv,6.875539,5.233695,4.0461235,6.438698,8.023247,3.4447644,5.8609643,7.2286716,7.015102,5.1750426,6.211705,4.8046517,2.5494173,4.4756913,6.4847374,4.003562,5.0456786,5.383683,2.5482564,5.8612747,2.7482991,5.8886833,7.290138,6.586388,7.269387,4
11,101-MFCC.csv,7.299206,5.4598193,3.2908165,6.2834005,8.281472,3.9256334,6.6439285,6.7664666,6.50817,4.261007,6.389704,5.198951,3.1312501,4.880947,5.950498,4.141173,4.5819793,5.1902637,2.6975613,5.5547566,2.8623896,5.7293196,6.996284,6.709523,6.6233277,5
12,102-MFCC.csv,7.921645,4.7964897,2.1609159,6.2786684,9.234316,3.7517238,7.3783937,6.082013,5.843401,4.0622325,7.0606503,6.18511,3.4181404,5.5344777,5.149737,4.7687654,4.029177,4.260184,2.812006,5.6852407,2.8440583,5.9654055,6.937614,7.2405405,5.8291554,3
13,103-MFCC.csv,7.5906715,5.602565,2.370735,6.2077174,8.400177,4.318839,6.995668,6.587582,6.224162,3.5866654,6.360722,5.717568,4.2804074,5.0416527,5.805962,4.4073544,4.21383,5.2012897,2.9920914,5.1517076,3.3496315,5.3894553,6.807548,6.9271812,6.0148635,1
14,104-MFCC.csv,7.390081,5.2961698,2.8963423,6.07745,8.705005,3.964559,7.0189776,6.2287426,6.0799212,3.8386142,6.6546807,5.4955306,2.942643,5.0167665,5.535778,4.3324533,4.1662683,5.012014,3.1686616,5.165334,2.727467,5.667848,6.8028793,7.0776763,6.425485,1
15,105-MFCC.csv,7.8931828,4.742068,2.2048461,6.2826314,9.2761135,3.6722586,7.3365803,5.9972935,5.8069706,4.145738,7.1709127,6.1769342,3.3252332,5.4932337,5.150645,4.767232,3.9931414,4.169671,2.8578315,5.6980267,2.8024824,5.9836864,6.9404736,7.298823,5.9037633,3
16,106-MFCC.csv,7.3431735,5.36069,3.074262,6.094744,8.573051,3.8206792,6.763814,6.5861425,6.4211717,4.3510466,6.625676,5.311598,3.3684819,5.0099535,5.837879,4.280056,4.4470296,5.003528,2.6621163,5.908231,2.7238953,5.9455943,7.0001864,6.722163,6.2610736,5
17,107-MFCC.csv,7.3731456,5.597026,3.9955292,6.6033792,7.6342306,4.3212037,6.3112364,7.332698,6.5952616,4.336061,6.0102463,4.8255043,3.1709964,4.5902677,6.3748093,3.8248465,4.7404084,5.6407895,2.5124323,5.3045416,3.3052685,5.528003,7.0532384,6.279574,6.9534845,0
18,108-MFCC.csv,7.3383274,5.7131867,4.036347,6.59835,7.624504,4.225814,6.2975855,7.3166156,6.5868583,4.3257346,5.931859,4.622689,2.999997,4.477791,6.4012437,3.7141476,4.6954107,5.791987,2.5627582,5.265686,3.157968,5.5604067,7.0898814,6.187349,7.064542,0
19,109-MFCC.csv,7.715578,5.2849746,2.3520362,6.1838884,8.761646,3.9945183,7.14067,6.5242605,6.2754726,3.9881668,6.5624137,5.791313,3.921818,5.3434987,5.5895557,4.5761037,4.304987,4.7383986,2.5815034,5.774733,3.0172114,5.8275323,6.937753,6.8639154,5.825404,2
20,11-MFCC.csv,7.5209146,5.1991205,2.557496,6.161878,8.876178,3.9087484,7.121534,6.218458,6.1180573,4.002818,6.8142896,5.7474546,3.4164057,5.0773816,5.413011,4.426142,4.1952105,4.805052,2.937775,5.480998,2.7727582,5.7951474,6.932683,7.145355,6.0709686,2
21,110-MFCC.csv,7.4314084,5.130408,2.952192,6.034329,8.6249485,3.5954452,6.6997075,6.484596,6.473623,4.439192,6.7108197,5.487517,3.4819734,5.2212276,5.8866577,4.496491,4.2893662,4.9436026,2.880659,5.9032426,2.7578802,6.1019998,6.988361,6.8256145,6.300504,5
22,111-MFCC.csv,6.817085,5.2024403,4.141871,6.49029,8.003063,3.3714137,5.7663274,7.1280055,7.2105627,5.312978,6.1838503,4.738732,2.5304196,4.4775033,6.485357,4.0474234,5.0211883,5.4385476,2.5791874,5.9965096,2.6513543,6.0312257,7.392,6.6031003,7.358534,4
23,112-MFCC.csv,7.811684,4.754595,2.3981786,6.132812,9.132047,3.6403396,7.2120757,6.049582,5.8691645,4.042708,6.9548836,6.0486364,3.2085145,5.541055,5.3168864,4.848887,3.9643428,4.470409,3.0616803,5.558701,2.8022785,5.9825273,6.834856,7.203499,6.0939074,3
24,113-MFCC.csv,7.9565964,4.8551283,2.1914365,6.097648,9.002097,3.737439,7.1808405,6.1992626,6.049951,3.964634,6.8040357,6.052062,3.53598,5.4949236,5.4733014,4.89604,3.9676354,4.512288,3.082637,5.626945,3.013598,6.040552,6.8209333,7.0829997,6.020982,3
25,114-MFCC.csv,7.4662614,5.465936,2.9692569,6.2154264,8.2817,4.2100058,6.9015784,6.561559,6.1198735,3.6678643,6.335033,5.453412,3.4074247,4.981534,5.840497,4.305074,4.1807427,5.3481207,3.1628556,4.9347534,3.164978,5.419143,6.7552786,6.8723564,6.4792757,1
26,115-MFCC.csv,7.4029846,5.2003965,3.0895054,6.056453,8.634706,3.6793134,6.737133,6.5428686,6.413339,4.4578037,6.700897,5.3598857,3.297895,5.05561,5.8570704,4.3731084,4.3887978,4.92224,2.7177818,6.018224,2.6923115,6.0990815,7.0026636,6.740524,6.3014526,5
27,116-MFCC.csv,7.057549,5.5780096,4.046951,6.3845024,7.828464,3.766362,6.132361,7.1525383,6.7774277,4.688171,6.2332535,4.6537995,2.8254704,4.598682,6.394164,3.8484142,4.821049,5.4693604,2.5495732,5.7578416,2.7350898,5.8957434,7.1438026,6.3755083,7.109556,4
28,12-MFCC.csv,7.8148026,5.040296,2.1548557,6.195131,8.911239,3.822663,7.1382127,6.3206363,6.1707873,4.0276923,6.787674,6.07007,4.0740952,5.300417,5.526693,4.726423,4.1394506,4.6797166,2.860081,5.689922,3.0651124,5.915857,6.95075,7.135309,5.8068085,2
