,Filename,Encoded_1,Encoded_2,Encoded_3,Encoded_4,Encoded_5,cluster
0,01-MFCC.csv,-18.565868,-11.494166,-17.646301,16.346977,17.591505,0
1,02-MFCC.csv,4.176623,-4.2231574,-13.080118,47.10847,7.839798,1
2,03-MFCC.csv,14.807467,22.494833,24.676203,-1.2010845,-8.315136,3
3,04-MFCC.csv,12.200464,5.3773766,16.673117,-9.199085,-9.445813,1
4,05-MFCC.csv,-21.255936,2.9334474,-28.448282,4.123442,-3.8285856,2
5,06-MFCC.csv,15.580722,1.1294433,22.785055,10.664387,15.767852,1
6,07-MFCC.csv,-18.996975,-6.9073505,5.3727736,4.236672,4.0141206,0
7,08-MFCC.csv,-10.233835,21.361452,18.33241,20.812424,-0.9372955,2
8,09-MFCC.csv,-13.710142,-18.32294,-42.040173,17.969955,-7.389698,0
9,10-MFCC.csv,2.8599153,-19.687666,7.881633,-28.184376,-12.932461,4
10,100-MFCC.csv,-29.787746,-23.000399,-40.273148,17.884825,-26.419996,0
11,101-MFCC.csv,-18.763565,-7.0379825,5.536231,4.41755,3.8075254,0
12,102-MFCC.csv,-1.1495733,-13.350926,19.56558,-24.95959,12.249122,4
13,103-MFCC.csv,16.930727,25.20704,15.325012,6.220675,-25.510584,3
14,104-MFCC.csv,-1.5103188,-0.42399037,29.219809,14.008497,0.0053977123,1
15,105-MFCC.csv,1.7039291,-28.209593,7.3944893,-17.947968,10.0763235,4
16,106-MFCC.csv,3.0411527,-9.044759,-8.125334,-2.0492427,21.473558,1
17,107-MFCC.csv,-26.710335,-16.674028,1.1378492,37.352646,28.210722,0
18,108-MFCC.csv,-25.82354,-25.635843,-18.62263,26.760418,19.937916,0
19,109-MFCC.csv,-0.025516925,3.5192707,24.71087,-14.243013,-2.4521194,1
20,11-MFCC.csv,4.757002,5.5407906,23.630787,-9.636465,6.1969924,1
21,110-MFCC.csv,31.170158,11.099373,-25.962774,-29.735186,4.031412,3
22,111-MFCC.csv,-12.510592,-20.802654,-40.596478,-10.464015,1.9969754,4
23,112-MFCC.csv,4.5292625,-8.888043,21.20494,-3.6075244,3.3038871,1
24,113-MFCC.csv,23.612118,-12.578676,26.899431,7.992989,2.4769635,5
25,114-MFCC.csv,7.683649,16.711927,9.618857,32.332123,5.601776,3
26,115-MFCC.csv,23.622494,-24.263062,-11.326426,-7.01602,18.145887,5
27,116-MFCC.csv,34.059948,24.540895,-30.09883,33.39159,-13.019014,3
28,12-MFCC.csv,30.63147,9.320681,21.680124,-19.45858,-8.137892,3
29,13-MFCC.csv,13.86892,-10.23469,21.61129,-4.383188,8.38846,5
30,14-MFCC.csv,-10.141209,15.654293,30.278593,18.547213,12.431911,2
31,15-MFCC.csv,11.737556,-3.6819181,4.9977417,4.762798,8.131405,1
32,16-MFCC.csv,30.833586,2.7716646,-20.697866,41.07435,38.795803,3
33,17-MFCC.csv,30.790312,-7.6271915,-13.890613,45.967747,14.674421,5
34,18-MFCC.csv,4.5238047,-8.923845,-39.349243,-23.863882,-22.711386,1
35,19-MFCC.csv,0.9595531,-1.2682495,14.624594,-9.501072,-1.5140346,1
36,20-MFCC.csv,-10.144835,18.932152,31.803812,15.547022,-14.380957,2
37,21-MFCC.csv,-5.0785236,-7.878995,19.572271,12.635907,-14.602677,1
38,22-MFCC.csv,0.56090933,0.9300414,18.711767,6.5538263,1.4872183,1
39,23-MFCC.csv,24.801104,-22.286192,-24.95968,-36.759308,10.051455,5
40,24-MFCC.csv,40.582302,-5.6536717,12.459552,-9.425476,-23.335043,5
41,25-MFCC.csv,-1.3581722,-0.14930366,14.465671,-10.4952,1.4754778,1
42,26-MFCC.csv,-31.395111,-41.71994,-34.426884,-16.72807,-1.2207156,0
43,27-MFCC.csv,-31.522102,-19.382507,-35.729115,36.64361,10.029883,0
44,28-MFCC.csv,-10.779823,-6.8524256,-20.08166,-16.68058,-31.197279,1
45,29-MFCC.csv,-13.998671,-14.155316,-50.00375,7.718634,2.138064,0
46,30-MFCC.csv,-3.1776888,4.3050604,10.384556,-8.146141,-2.6100986,1
47,31-MFCC.csv,-8.960423,-1.7187855,15.525343,47.720367,30.228376,1
48,32-MFCC.csv,48.73649,-14.590402,17.055733,-5.2464366,2.2726817,5
49,33-MFCC.csv,22.534443,-24.720493,16.44243,-3.777349,15.424129,5
50,34-MFCC.csv,22.592617,19.652853,15.080758,20.096031,15.64929,3
51,35-MFCC.csv,-8.198356,-21.127209,-4.793104,20.733683,14.318532,4
52,36-MFCC.csv,12.797627,0.8894847,-0.8233027,-18.191545,-6.956538,1
53,37-MFCC.csv,0.11052793,5.099106,11.673296,11.32378,-3.9886866,1
54,38-MFCC.csv,-4.281297,-22.199266,0.12974796,-25.938145,13.830446,4
55,39-MFCC.csv,8.305468,-3.6964383,22.140024,-9.990429,9.185114,1
56,40-MFCC.csv,41.46989,-20.535252,-11.753937,-33.783817,-6.3674664,5
57,41-MFCC.csv,11.223725,-5.2416883,25.418852,-9.923383,4.352421,1
58,42-MFCC.csv,4.0602484,-11.029176,27.33441,20.129122,24.60282,1
59,43-MFCC.csv,9.345794,-9.984955,21.869501,-7.1768646,-5.530053,1
60,44-MFCC.csv,27.072384,19.947876,28.960604,10.566428,-21.48165,3
61,45-MFCC.csv,-9.150256,5.2815833,-3.058336,29.298094,9.066544,2
62,46-MFCC.csv,-19.07655,3.0256512,-24.572014,3.8274179,1.2822096,2
63,47-MFCC.csv,3.5292895,1.0908084,17.134918,-27.02384,-14.642857,1
64,48-MFCC.csv,10.00343,-11.639166,14.397272,7.4277263,-3.2195425,1
65,49-MFCC.csv,6.2641325,1.7392384,18.485231,-7.122159,-0.6997627,1
66,50-MFCC.csv,6.036578,-6.845136,-32.295593,11.642403,-26.941286,1
